"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2018-03-29,1017,273,134,3995,2127,1842,665,462,729,651,210,95,252,1976,2007,89,513,1324,1444,677
"2",2018-03-30,920,245,110,3548,1884,1648,612,397,615,636,179,75,196,1733,1761,82,473,1144,1248,614
"3",2018-03-31,1083,297,123,4241,2333,1891,748,445,701,745,243,99,231,2063,2169,88,502,1385,1552,776
"4",2018-04-01,898,227,96,3470,1849,1604,568,374,612,618,190,76,188,1674,1782,67,409,1192,1250,588
"5",2018-04-02,963,257,108,3778,2072,1678,623,385,639,654,200,101,190,1881,1860,75,458,1202,1409,644
"6",2018-04-03,1000,279,117,3935,2114,1798,680,425,692,681,229,78,225,1913,1995,80,479,1308,1418,680
"7",2018-04-04,885,253,97,3560,1945,1590,624,412,614,564,167,79,227,1708,1830,73,409,1173,1286,645
"8",2018-04-05,859,234,106,3349,1789,1544,564,380,596,568,172,73,200,1632,1670,74,421,1104,1201,560
"9",2018-04-06,668,169,79,2699,1502,1182,471,268,442,472,158,60,126,1343,1355,46,320,862,1015,486
"10",2018-04-07,1173,320,145,4743,2635,2083,824,468,846,769,243,116,278,2300,2429,104,511,1568,1777,848
"11",2018-04-08,1059,299,128,4224,2302,1900,749,437,751,712,215,83,250,2067,2153,84,526,1374,1526,772
"12",2018-04-09,897,248,100,3561,1943,1594,604,408,608,578,186,78,228,1780,1761,74,460,1126,1305,626
"13",2018-04-10,1155,311,118,4485,2478,1974,819,461,755,758,243,111,262,2186,2292,95,530,1440,1635,840
"14",2018-04-11,1183,329,146,4602,2473,2098,794,505,794,799,261,92,272,2239,2348,85,567,1523,1652,814
"15",2018-04-12,616,166,58,2387,1305,1063,439,203,430,430,131,53,124,1155,1228,64,269,791,872,432
"16",2018-04-13,1057,291,133,4136,2245,1866,766,425,723,718,252,70,255,1989,2133,91,501,1357,1474,765
"17",2018-04-14,922,252,99,3679,1997,1664,659,356,663,645,221,73,197,1721,1955,72,399,1264,1313,682
"18",2018-04-15,743,211,80,2943,1597,1321,527,350,524,447,131,62,218,1405,1535,52,338,981,1050,546
"19",2018-04-16,669,193,65,2639,1441,1192,482,283,474,435,141,64,165,1220,1344,66,280,878,936,464
"20",2018-04-17,1247,319,140,4935,2727,2171,854,553,819,799,252,128,300,2346,2248,89,585,1431,1734,807
"21",2018-04-18,1094,279,125,4288,2267,1992,750,471,779,742,259,80,258,1800,2023,74,429,1326,1355,690
"22",2018-04-19,682,190,71,2682,1456,1209,450,266,478,465,162,58,146,1329,1349,47,337,871,981,472
"23",2018-04-20,1236,311,128,4898,2573,2296,810,542,920,834,264,107,276,2361,2505,96,640,1650,1700,847
"24",2018-04-21,1095,308,112,4211,2269,1921,728,433,756,732,232,100,247,2082,2122,76,543,1375,1525,740
"25",2018-04-22,1058,293,123,4146,2162,1947,693,461,781,705,232,85,251,1980,2155,63,547,1396,1416,739
"26",2018-04-23,675,184,68,2682,1468,1203,493,271,461,471,154,57,140,1268,1411,58,308,894,956,510
"27",2018-04-24,1008,272,119,3928,2140,1759,694,417,687,655,213,94,244,1947,1969,99,480,1273,1450,684
"28",2018-04-25,1243,320,136,4901,2608,2265,801,565,859,841,282,104,279,2419,2476,111,597,1665,1804,801
"29",2018-04-26,770,212,84,2926,1517,1384,515,309,533,542,180,44,167,1370,1554,62,365,1017,984,533
"30",2018-04-27,1153,308,133,4397,2317,2051,763,452,782,817,262,79,243,2138,2255,82,587,1462,1535,780
"31",2018-04-28,1319,332,142,5049,2741,2273,910,475,892,906,299,118,273,2451,2590,88,628,1641,1803,934
"32",2018-04-29,1110,304,113,4354,2316,2012,769,467,797,748,244,90,255,2081,2267,82,531,1476,1534,781
"33",2018-04-30,836,232,93,3248,1763,1457,543,318,570,569,185,75,172,1630,1608,96,379,1071,1233,527
"34",2018-05-01,1169,325,137,4386,2348,2013,798,479,721,813,250,77,260,2119,2258,87,564,1443,1537,808
"35",2018-05-02,1117,316,112,4262,2189,2053,686,517,758,778,258,71,258,2002,2250,65,545,1506,1446,735
"36",2018-05-03,867,209,97,3308,1690,1599,497,373,613,613,212,66,173,1639,1669,81,427,1172,1197,493
"37",2018-05-04,1117,308,117,4448,2398,2035,778,455,825,755,251,95,258,2060,2074,95,528,1371,1522,698
"38",2018-05-05,1166,320,135,4600,2500,2069,780,488,807,774,241,111,270,2140,2158,90,541,1398,1585,747
"39",2018-05-06,1137,324,131,4509,2384,2089,734,528,823,738,227,94,288,2111,2086,91,559,1400,1531,675
"40",2018-05-07,552,152,50,2105,1101,995,357,209,395,391,139,47,108,992,1112,54,252,743,735,365
"41",2018-05-08,1129,311,134,4461,2345,2084,715,455,845,784,252,84,244,2205,2253,93,585,1499,1602,740
"42",2018-05-09,1049,295,114,4170,2230,1918,686,431,783,704,241,87,249,2023,2109,64,507,1393,1505,705
"43",2018-05-10,764,213,89,3009,1548,1443,505,330,577,536,181,58,164,1422,1583,59,384,1058,1031,514
"44",2018-05-11,1123,306,128,4430,2334,2064,734,447,839,778,271,97,234,2189,2228,75,600,1454,1571,760
"45",2018-05-12,1272,307,146,4924,2657,2230,813,559,814,857,275,119,280,2434,2474,75,607,1615,1806,843
"46",2018-05-13,1145,316,123,4571,2448,2090,783,489,841,760,262,101,272,2149,2396,69,513,1565,1618,816
"47",2018-05-14,661,186,70,2503,1342,1153,436,232,436,485,147,43,126,1182,1316,69,279,873,899,439
"48",2018-05-15,1038,301,118,4113,2130,1954,671,446,781,727,235,67,228,2006,2105,76,551,1402,1440,689
"49",2018-05-16,958,271,107,3744,1944,1782,624,390,724,668,208,71,211,1772,1967,78,461,1319,1301,640
"50",2018-05-17,705,192,76,2732,1472,1248,463,284,475,489,152,60,149,1335,1391,70,306,939,1020,449
"51",2018-05-18,1055,287,107,4169,2209,1938,738,439,779,720,236,92,233,2039,2120,89,546,1387,1479,725
"52",2018-05-19,1269,322,137,4989,2575,2384,816,552,975,857,266,109,287,2394,2591,84,666,1716,1709,864
"53",2018-05-20,1120,307,118,4376,2311,2042,751,470,813,759,239,88,261,2124,2240,93,567,1471,1545,758
"54",2018-05-21,622,180,61,2444,1275,1157,411,269,458,430,118,44,143,1183,1261,50,333,824,842,433
"55",2018-05-22,1086,311,121,4282,2324,1934,751,456,759,719,225,96,257,2097,2182,95,523,1411,1562,759
"56",2018-05-23,1127,312,130,4469,2385,2049,786,471,824,754,226,97,267,2167,2296,81,580,1466,1570,812
"57",2018-05-24,589,154,58,2344,1236,1099,391,246,443,410,133,47,124,1111,1231,38,300,797,803,433
"58",2018-05-25,1102,301,123,4231,2223,1990,704,474,762,754,245,86,252,2036,2192,70,525,1465,1498,722
"59",2018-05-26,1148,311,131,4433,2322,2091,733,455,830,806,260,95,234,2118,2311,82,540,1549,1567,753
"60",2018-05-27,1133,310,128,4409,2310,2081,712,464,850,767,246,99,258,2151,2256,85,556,1523,1584,726
"61",2018-05-28,1236,317,132,4707,2453,2226,752,483,850,893,298,89,237,2243,2461,72,585,1640,1643,808
"62",2018-05-29,1200,313,144,4650,2424,2184,775,468,873,843,307,77,256,2262,2384,81,593,1589,1637,785
"63",2018-05-30,1134,312,119,4317,2192,2088,697,498,793,797,267,80,241,2012,2298,70,546,1537,1449,741
"64",2018-05-31,743,205,81,2909,1586,1304,518,268,517,519,171,55,157,1358,1545,59,313,988,1036,547
"65",2018-06-01,1142,316,123,4393,2324,2044,789,458,767,819,272,80,229,2009,2383,95,496,1547,1495,829
"66",2018-06-02,1162,318,128,4688,2436,2216,781,568,886,762,238,79,302,2253,2430,77,618,1596,1612,821
"67",2018-06-03,998,285,114,3957,2078,1860,644,435,756,669,191,82,232,1868,2088,62,481,1378,1374,704
"68",2018-06-04,393,91,41,1563,826,725,255,161,291,273,94,34,76,738,825,32,161,564,569,257
"69",2018-06-05,1159,308,120,4500,2362,2119,744,462,823,834,252,83,232,2145,2352,75,540,1579,1595,764
"70",2018-06-06,1165,311,142,4706,2516,2163,790,542,853,768,261,106,276,2303,2400,73,616,1546,1672,842
"71",2018-06-07,769,211,83,2907,1478,1415,501,333,546,536,171,52,168,1336,1570,72,347,1068,981,496
"72",2018-06-08,1110,314,112,4288,2244,2025,737,445,820,760,247,72,257,2061,2224,68,565,1458,1482,761
"73",2018-06-09,1158,326,130,4572,2426,2110,761,510,826,774,245,95,265,2281,2285,89,602,1507,1652,769
"74",2018-06-10,1116,306,117,4366,2258,2081,720,487,855,739,237,90,269,2068,2297,68,552,1528,1500,758
"75",2018-06-11,617,163,74,2373,1261,1088,389,261,418,409,120,47,146,1199,1171,47,326,761,857,402
"76",2018-06-12,1106,307,126,4379,2325,2031,716,448,819,764,228,97,225,2134,2244,82,534,1497,1586,738
"77",2018-06-13,1114,310,125,4383,2293,2062,742,466,833,763,242,87,250,2091,2288,88,523,1538,1552,738
"78",2018-06-14,681,184,66,2664,1376,1267,442,294,508,465,137,41,161,1291,1370,56,356,911,921,452
"79",2018-06-15,1128,310,120,4432,2338,2067,742,429,847,791,260,87,233,2139,2286,78,548,1516,1574,760
"80",2018-06-16,1079,305,112,4175,2193,1963,726,434,789,740,215,79,244,1968,2204,67,536,1425,1417,775
"81",2018-06-17,1170,317,139,4584,2428,2126,766,501,848,777,283,100,278,2199,2380,82,556,1568,1620,805
"82",2018-06-18,685,189,76,2644,1374,1252,426,312,486,454,144,58,160,1262,1381,48,336,916,917,456
"83",2018-06-19,1239,323,135,4833,2608,2190,853,537,855,798,269,121,296,2379,2453,101,623,1567,1734,873
"84",2018-06-20,979,270,109,3816,1993,1797,627,379,742,676,228,85,202,1828,1982,69,487,1308,1323,666
