"","all_star_status","team_id","team_full_name","link","season","team_code","file_code","team_abbreviation","team_name","location_name","first_year_of_play","short_name","franchise_name","club_name","active","spring_league_id","spring_league_name","spring_league_link","spring_league_abbreviation","venue_id","venue_name","venue_link","spring_venue_id","spring_venue_link","league_id","league_name","league_link","division_id","division_name","division_link","sport_id","sport_link","sport_name","parent_org_name","parent_org_id"
"20","N",111,"Boston Red Sox","/api/v1/teams/111",2022,"bos","bos","BOS","Red Sox","Boston","1901","Boston","Boston","Red Sox",TRUE,115,"Grapefruit League","/api/v1/league/115","GL",3,"Fenway Park","/api/v1/venues/3",4309,"/api/v1/venues/4309",103,"American League","/api/v1/league/103",201,"American League East","/api/v1/divisions/201",1,"/api/v1/sports/1","Major League Baseball","",NA
"21","N",112,"Chicago Cubs","/api/v1/teams/112",2022,"chn","chc","CHC","Cubs","Chicago","1874","Chi Cubs","Chicago","Cubs",TRUE,114,"Cactus League","/api/v1/league/114","CL",17,"Wrigley Field","/api/v1/venues/17",4629,"/api/v1/venues/4629",104,"National League","/api/v1/league/104",205,"National League Central","/api/v1/divisions/205",1,"/api/v1/sports/1","Major League Baseball","",NA
"22","N",113,"Cincinnati Reds","/api/v1/teams/113",2022,"cin","cin","CIN","Reds","Cincinnati","1882","Cincinnati","Cincinnati","Reds",TRUE,114,"Cactus League","/api/v1/league/114","CL",2602,"Great American Ball Park","/api/v1/venues/2602",3834,"/api/v1/venues/3834",104,"National League","/api/v1/league/104",205,"National League Central","/api/v1/divisions/205",1,"/api/v1/sports/1","Major League Baseball","",NA
"23","N",114,"Cleveland Guardians","/api/v1/teams/114",2022,"cle","cle","CLE","Guardians","Cleveland","1901","Cleveland","Cleveland","Guardians",TRUE,114,"Cactus League","/api/v1/league/114","CL",5,"Progressive Field","/api/v1/venues/5",3834,"/api/v1/venues/3834",103,"American League","/api/v1/league/103",202,"American League Central","/api/v1/divisions/202",1,"/api/v1/sports/1","Major League Baseball","",NA
"24","N",115,"Colorado Rockies","/api/v1/teams/115",2022,"col","col","COL","Rockies","Denver","1992","Colorado","Colorado","Rockies",TRUE,114,"Cactus League","/api/v1/league/114","CL",19,"Coors Field","/api/v1/venues/19",4249,"/api/v1/venues/4249",104,"National League","/api/v1/league/104",203,"National League West","/api/v1/divisions/203",1,"/api/v1/sports/1","Major League Baseball","",NA
"25","N",116,"Detroit Tigers","/api/v1/teams/116",2022,"det","det","DET","Tigers","Detroit","1901","Detroit","Detroit","Tigers",TRUE,115,"Grapefruit League","/api/v1/league/115","GL",2394,"Comerica Park","/api/v1/venues/2394",2511,"/api/v1/venues/2511",103,"American League","/api/v1/league/103",202,"American League Central","/api/v1/divisions/202",1,"/api/v1/sports/1","Major League Baseball","",NA
"26","N",117,"Houston Astros","/api/v1/teams/117",2022,"hou","hou","HOU","Astros","Houston","1962","Houston","Houston","Astros",TRUE,115,"Grapefruit League","/api/v1/league/115","GL",2392,"Minute Maid Park","/api/v1/venues/2392",5000,"/api/v1/venues/5000",103,"American League","/api/v1/league/103",200,"American League West","/api/v1/divisions/200",1,"/api/v1/sports/1","Major League Baseball","",NA
"27","N",118,"Kansas City Royals","/api/v1/teams/118",2022,"kca","kc","KC","Royals","Kansas City","1968","Kansas City","Kansas City","Royals",TRUE,114,"Cactus League","/api/v1/league/114","CL",7,"Kauffman Stadium","/api/v1/venues/7",2603,"/api/v1/venues/2603",103,"American League","/api/v1/league/103",202,"American League Central","/api/v1/divisions/202",1,"/api/v1/sports/1","Major League Baseball","",NA
"28","N",119,"Los Angeles Dodgers","/api/v1/teams/119",2022,"lan","la","LAD","Dodgers","Los Angeles","1884","LA Dodgers","Los Angeles","Dodgers",TRUE,114,"Cactus League","/api/v1/league/114","CL",22,"Dodger Stadium","/api/v1/venues/22",3809,"/api/v1/venues/3809",104,"National League","/api/v1/league/104",203,"National League West","/api/v1/divisions/203",1,"/api/v1/sports/1","Major League Baseball","",NA
"29","N",120,"Washington Nationals","/api/v1/teams/120",2022,"was","was","WSH","Nationals","Washington","1968","Washington","Washington","Nationals",TRUE,115,"Grapefruit League","/api/v1/league/115","GL",3309,"Nationals Park","/api/v1/venues/3309",5000,"/api/v1/venues/5000",104,"National League","/api/v1/league/104",204,"National League East","/api/v1/divisions/204",1,"/api/v1/sports/1","Major League Baseball","",NA
"30","N",121,"New York Mets","/api/v1/teams/121",2022,"nyn","nym","NYM","Mets","Flushing","1962","NY Mets","New York","Mets",TRUE,115,"Grapefruit League","/api/v1/league/115","GL",3289,"Citi Field","/api/v1/venues/3289",2856,"/api/v1/venues/2856",104,"National League","/api/v1/league/104",204,"National League East","/api/v1/divisions/204",1,"/api/v1/sports/1","Major League Baseball","",NA
"31","N",512,"Toledo Mud Hens","/api/v1/teams/512",2022,"tol","t512","TOL","Mud Hens","Toledo","1932","Toledo","Toledo","Mud Hens",TRUE,NA,"","","",2767,"Fifth Third Field","/api/v1/venues/2767",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Detroit Tigers",116
"32","N",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",2022,"lhv","t1410","LHV","IronPigs","Allentown","2008","Lehigh Valley","Lehigh Valley","IronPigs",TRUE,NA,"","","",3230,"Coca-Cola Park","/api/v1/venues/3230",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Philadelphia Phillies",143
"33","N",451,"Iowa Cubs","/api/v1/teams/451",2022,"iow","t451","IOW","Cubs","Des Moines","1969","Iowa","Iowa","Cubs",TRUE,NA,"","","",2844,"Principal Park","/api/v1/venues/2844",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Chicago Cubs",112
"34","N",2310,"Reno Aces","/api/v1/teams/2310",2022,"ren","t2310","RNO","Aces","Reno","2009","Reno","Reno","Aces",TRUE,NA,"","","",3789,"Greater Nevada Field","/api/v1/venues/3789",NA,"",112,"Pacific Coast League","/api/v1/league/112",231,"Pacific Coast League West","/api/v1/divisions/231",11,"/api/v1/sports/11","Triple-A","Arizona Diamondbacks",109
"35","N",400,"Las Vegas Aviators","/api/v1/teams/400",2022,"lvg","t400","LV","Aviators","Summerlin","1983","Las Vegas","Las Vegas","Aviators",TRUE,NA,"","","",5355,"Las Vegas Ballpark","/api/v1/venues/5355",NA,"",112,"Pacific Coast League","/api/v1/league/112",231,"Pacific Coast League West","/api/v1/divisions/231",11,"/api/v1/sports/11","Triple-A","Oakland Athletics",133
