"","out_plays","Name","Team","IP","BIP_per_IP","outs_over94","outs_over99","outs_GB","outs_LD"
"1",14,"Max Fried","ATL",69,2.8695652173913,0,0,13,0
"2",13,"Kyle Wright","ATL",67.2,2.4702380952381,1,0,13,0
"3",12,"Ranger Suarez","PHI",55,3.09090909090909,2,2,12,0
"4",10,"Logan Webb","SFG",66,2.90909090909091,1,1,10,0
"5",9,"Sandy Alcantara","MIA",74.2,2.49326145552561,0,0,8,0
"6",9,"Jose Quintana","PIT",53.2,3.04511278195489,1,1,9,0
"7",8,"Justin Verlander","HOU",71.2,2.5,0,0,8,0
"8",8,"Pablo Lopez","MIA",66,2.62121212121212,1,1,7,1
"9",8,"Framber Valdez","HOU",69,2.81159420289855,3,1,7,1
"10",8,"Luis Severino","NYY",55,2.52727272727273,0,0,7,1
