"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2019-03-20,1062,439,144,2238,855,1361,256,496,157,708,238,95,238,153,168,3,36,119,116,48
"2",2019-03-21,1236,475,177,2630,1004,1609,286,591,181,837,283,113,268,130,129,9,31,86,98,42
"3",2019-03-22,1310,531,193,2532,862,1653,258,658,105,890,333,105,297,138,164,9,29,104,108,60
"4",2019-03-23,1139,455,150,2208,762,1429,300,552,109,768,281,77,277,136,154,10,35,102,99,52
"5",2019-03-24,1143,463,154,2480,944,1525,295,565,187,773,272,94,260,410,447,14,100,291,308,156
"6",2019-03-25,918,405,160,2998,1489,1489,452,450,443,596,205,85,216,1208,1233,60,277,819,919,411
"7",2019-03-26,794,388,128,2529,1238,1280,390,355,390,535,178,59,189,986,1113,30,260,732,721,379
"8",2019-03-28,1066,302,118,4048,2153,1869,702,461,693,715,196,83,247,2012,2035,84,543,1326,1451,701
"9",2019-03-29,628,175,80,2493,1356,1120,436,295,421,404,124,62,152,1238,1255,51,327,793,901,455
"10",2019-03-30,1066,291,130,4271,2300,1940,707,487,750,703,246,93,253,2133,2136,88,557,1383,1554,744
"11",2019-03-31,1143,317,133,4475,2390,2063,745,495,810,758,247,110,260,2193,2282,94,557,1506,1621,769
"12",2019-04-01,975,275,117,3844,2080,1734,642,463,639,632,196,86,239,1961,1883,72,540,1194,1403,677
"13",2019-04-02,901,250,96,3411,1807,1585,586,372,596,617,203,64,205,1705,1705,82,473,1112,1219,587
"14",2019-04-03,1056,293,126,4216,2298,1898,707,526,704,668,202,103,271,2163,2053,73,581,1317,1567,731
"15",2019-04-04,615,165,64,2489,1335,1139,412,289,452,398,136,63,143,1219,1269,50,315,824,896,438
"16",2019-04-05,902,261,109,3576,1925,1631,595,412,616,603,205,78,207,1747,1826,54,440,1190,1292,631
"17",2019-04-06,1166,335,146,4694,2506,2152,777,478,873,801,267,112,237,2244,2449,105,530,1621,1693,813
"18",2019-04-07,1122,324,125,4474,2402,2045,759,471,818,756,243,102,244,2208,2261,91,566,1476,1624,776
"19",2019-04-08,749,217,81,2863,1537,1306,488,286,502,518,168,59,158,1430,1428,59,364,940,1051,483
"20",2019-04-09,1100,294,123,4446,2427,1995,769,494,752,749,269,93,247,2224,2217,99,554,1438,1663,762
"21",2019-04-10,978,278,112,3964,2147,1784,680,443,714,627,210,87,248,1927,2034,70,474,1310,1435,709
"22",2019-04-11,755,211,93,3013,1643,1351,532,369,514,468,151,69,204,1524,1488,55,415,936,1094,548
"23",2019-04-12,1045,275,124,4060,2155,1879,695,447,730,702,240,69,259,1995,2062,84,533,1345,1445,708
