"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"55",2020-09-15,1047,275,114,4083,2144,1916,677,444,753,719,246,79,230,2071,2012,74,591,1325,1461,683
"56",2020-09-16,1134,305,137,4477,2297,2158,730,577,838,743,225,79,293,2206,2271,96,622,1536,1566,731
"57",2020-09-17,881,226,101,3496,1885,1590,572,403,608,579,195,82,206,1750,1746,66,451,1139,1282,603
"58",2020-09-18,1304,309,152,5261,2843,2392,863,572,971,849,273,133,300,2652,2609,97,689,1703,1947,896
"59",2020-09-19,1058,286,119,4262,2285,1948,714,500,774,674,207,78,280,2141,2121,78,577,1371,1542,743
"60",2020-09-20,1170,303,129,4807,2513,2271,773,594,947,730,215,115,304,2433,2374,87,692,1579,1722,791
"61",2020-09-21,805,215,96,3308,1725,1562,520,418,640,504,164,79,209,1658,1650,58,460,1102,1184,541
"62",2020-09-22,1177,303,137,4696,2494,2178,774,554,852,772,258,95,293,2399,2297,92,654,1524,1728,766
"63",2020-09-23,1115,289,127,4338,2275,2058,693,512,788,758,253,85,263,2170,2167,89,587,1471,1580,694
"64",2020-09-24,851,231,92,3319,1702,1603,528,342,671,590,206,62,186,1680,1638,63,485,1117,1184,518
"65",2020-09-25,1216,296,151,4832,2554,2262,776,563,889,810,259,118,271,2418,2414,96,650,1612,1755,799
"66",2020-09-26,1206,316,136,4734,2486,2227,778,554,882,791,279,88,314,2444,2290,108,725,1502,1703,783
"67",2020-09-27,1144,310,152,4621,2480,2119,770,520,863,736,241,112,275,2274,2347,78,584,1535,1673,807
