"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2021-04-01,1057,281,142,4148,2238,1880,711,516,709,655,222,121,260,2017,2131,85,487,1393,1507,731
"2",2021-04-02,542,149,69,2185,1164,1014,372,257,401,356,127,47,135,1051,1134,38,279,735,768,396
"3",2021-04-03,1031,299,119,4112,2238,1848,741,480,715,653,219,79,278,1976,2136,77,487,1361,1467,771
"4",2021-04-04,888,258,103,3515,1904,1601,623,398,620,583,163,92,205,1739,1776,69,452,1149,1280,624
"5",2021-04-05,998,279,110,4016,2173,1820,643,480,715,625,198,105,246,2031,1985,78,486,1334,1525,648
"6",2021-04-06,1098,299,129,4370,2310,2035,740,526,799,710,227,86,285,2105,2265,85,524,1511,1565,745
"7",2021-04-07,1094,309,124,4214,2207,1985,721,530,758,697,215,91,289,2073,2141,64,591,1394,1465,742
"8",2021-04-08,678,186,80,2633,1408,1212,452,296,467,449,143,53,164,1260,1373,48,316,896,934,474
"9",2021-04-09,651,184,68,2581,1391,1176,480,295,452,429,124,50,161,1227,1354,64,291,885,927,464
"10",2021-04-10,1067,296,122,4135,2136,1984,669,437,819,728,248,91,238,1932,2203,59,475,1509,1447,689
"11",2021-04-11,1018,281,123,3932,2033,1862,567,459,742,661,216,96,234,1941,1991,52,493,1369,1424,609
"12",2021-04-12,809,235,96,3202,1700,1471,545,396,574,501,149,74,221,1607,1595,50,460,1011,1129,571
"13",2021-04-13,1250,344,142,4940,2620,2282,818,551,903,828,275,109,287,2411,2529,93,596,1686,1786,834
"14",2021-04-14,1005,274,121,3925,2058,1835,686,433,743,659,209,83,240,1898,2027,75,505,1330,1370,688
"15",2021-04-15,832,215,96,3244,1718,1501,513,335,603,563,174,78,174,1587,1657,53,418,1083,1153,565
"16",2021-04-16,906,260,108,3546,1870,1650,607,402,662,586,184,76,223,1668,1878,64,411,1239,1239,631
"17",2021-04-17,1145,309,134,4544,2368,2147,747,520,873,754,256,77,294,2217,2327,91,586,1561,1612,756
"18",2021-04-18,1054,300,122,4065,2126,1920,669,472,765,683,188,79,273,1955,2110,69,491,1429,1451,675
"19",2021-04-19,520,144,58,2037,1080,946,384,269,342,335,103,38,135,1045,992,57,316,630,720,360
"20",2021-04-20,1076,302,132,4283,2287,1979,731,510,777,692,207,106,264,2074,2209,76,518,1461,1545,742
"21",2021-04-21,1055,282,127,4091,2206,1862,681,439,724,699,231,109,235,1973,2118,60,480,1382,1478,728
"22",2021-04-22,622,174,83,2461,1292,1154,379,261,484,409,128,49,152,1230,1231,37,333,821,887,405
"23",2021-04-23,1097,308,123,4308,2265,2021,752,547,761,713,233,85,290,2072,2236,89,562,1459,1498,767
"24",2021-04-24,1023,289,105,3987,2057,1911,656,494,717,700,209,67,239,1938,2049,73,552,1359,1371,686
"25",2021-04-25,1159,317,128,4748,2498,2212,770,570,906,736,231,100,298,2356,2392,86,607,1605,1721,777
"26",2021-04-26,817,229,83,3163,1675,1472,526,364,561,547,165,66,190,1520,1643,60,365,1107,1140,535
"27",2021-04-27,1069,305,122,4037,2093,1918,700,475,713,730,224,72,257,1951,2086,92,540,1378,1396,697
"28",2021-04-28,1047,299,126,4143,2247,1875,710,478,705,692,223,88,250,2048,2095,68,524,1351,1512,735
"29",2021-04-29,687,197,79,2711,1383,1308,438,352,501,455,136,43,175,1324,1387,52,368,940,946,437
"30",2021-04-30,1110,312,127,4291,2312,1962,717,452,772,738,228,108,252,2067,2224,86,499,1463,1558,754
"31",2021-05-01,1178,327,145,4531,2399,2115,769,508,826,781,260,108,268,2154,2377,84,544,1571,1597,802
"32",2021-05-02,1134,318,129,4312,2186,2090,679,521,809,760,262,79,268,2091,2221,78,560,1530,1502,684
"33",2021-05-03,591,159,71,2350,1279,1065,389,274,408,383,117,62,140,1194,1156,38,307,758,883,396
"34",2021-05-04,1172,314,145,4684,2523,2133,804,508,858,767,254,112,277,2330,2354,104,582,1551,1729,794
"35",2021-05-05,1160,319,142,4560,2408,2122,770,555,822,745,222,100,295,2265,2295,81,642,1480,1604,804
"36",2021-05-06,754,204,82,2995,1543,1439,481,347,584,508,162,61,179,1505,1490,75,415,1024,1080,463
"37",2021-05-07,1113,311,117,4422,2369,2034,748,440,821,773,237,84,240,2197,2225,104,558,1476,1624,745
"38",2021-05-08,1221,325,141,4747,2518,2199,779,503,882,814,281,121,266,2331,2416,82,600,1599,1716,802
"39",2021-05-09,965,270,111,3794,2008,1765,627,425,704,636,196,85,228,1823,1971,64,450,1315,1357,651
"40",2021-05-10,369,102,42,1437,775,655,264,146,262,247,80,34,86,702,735,26,184,471,514,261
"41",2021-05-11,1115,331,128,4407,2353,2017,761,526,767,724,225,93,276,2165,2242,82,561,1456,1578,775
"42",2021-05-12,1088,303,123,4269,2276,1967,751,466,763,738,229,75,262,2062,2207,70,557,1410,1495,781
"43",2021-05-13,907,250,102,3513,1831,1665,578,429,646,590,193,83,226,1724,1789,82,442,1223,1272,559
"44",2021-05-14,1181,325,135,4661,2459,2167,766,535,851,781,259,105,277,2253,2408,87,561,1606,1674,785
"45",2021-05-15,1182,322,136,4673,2500,2146,802,487,856,803,276,112,251,2343,2330,94,623,1523,1701,799
"46",2021-05-16,1155,311,140,4590,2410,2150,741,563,812,775,264,101,259,2241,2349,75,601,1549,1621,789
"47",2021-05-17,655,192,72,2495,1347,1137,440,314,382,441,145,55,155,1232,1263,54,315,822,912,435
"48",2021-05-18,1123,314,127,4347,2254,2073,735,513,806,754,249,78,280,2106,2241,94,562,1511,1534,720
"49",2021-05-19,1084,316,125,4216,2233,1956,744,506,751,699,214,84,286,2041,2175,83,533,1423,1491,742
"50",2021-05-20,821,212,97,3271,1739,1516,574,382,606,528,192,69,212,1578,1693,76,399,1117,1171,568
"51",2021-05-21,1204,324,141,4735,2496,2207,791,520,896,791,283,104,298,2329,2406,93,605,1602,1708,788
"52",2021-05-22,1125,320,130,4359,2292,2044,758,505,798,741,247,93,276,2095,2264,79,548,1496,1531,761
"53",2021-05-23,1134,322,135,4428,2273,2123,688,520,846,757,232,103,255,2152,2276,75,570,1553,1568,705
"54",2021-05-24,606,166,64,2341,1235,1097,399,295,405,397,123,55,143,1143,1198,30,333,764,803,432
"55",2021-05-25,1107,309,113,4351,2284,2035,709,507,810,718,223,86,284,2131,2220,80,545,1490,1567,717
"56",2021-05-26,950,269,111,3719,1922,1771,603,442,702,627,180,85,225,1795,1924,56,492,1279,1292,630
"57",2021-05-27,997,286,111,3917,2049,1847,659,477,727,643,184,82,256,1917,2000,62,526,1321,1375,674
"58",2021-05-28,747,206,83,2978,1645,1312,485,299,522,491,150,83,162,1462,1516,44,312,1000,1139,506
"59",2021-05-29,1195,314,137,4769,2551,2189,808,564,866,759,256,107,313,2354,2415,96,614,1575,1723,828
"60",2021-05-30,1000,265,111,3991,2081,1890,670,445,786,659,190,101,230,1947,2044,71,536,1354,1399,682
"61",2021-05-31,1006,282,118,3893,2087,1784,703,439,686,659,221,67,269,1879,2014,82,493,1291,1371,716
"62",2021-06-01,1182,331,140,4625,2409,2191,731,575,826,790,269,105,278,2311,2314,76,635,1556,1665,744
"63",2021-06-02,745,220,84,2919,1495,1413,458,344,575,494,162,64,179,1427,1492,57,388,1025,1032,463
"64",2021-06-03,885,252,93,3378,1775,1579,568,370,602,607,191,70,196,1605,1773,58,399,1180,1193,582
