"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2016-04-03,290,93,31,1104,597,499,195,129,181,189,59,24,72,569,535,39,168,331,396,201
"2",2016-04-04,770,217,95,3024,1587,1407,508,380,526,501,160,68,186,1504,1520,77,420,987,1066,521
"3",2016-04-05,914,253,108,3483,1853,1597,632,358,608,631,190,55,212,1702,1781,68,486,1111,1191,662
"4",2016-04-06,970,274,108,3846,2094,1712,665,376,670,666,224,80,208,1962,1884,108,520,1192,1412,682
"5",2016-04-07,626,174,73,2378,1276,1082,411,232,406,444,159,47,127,1151,1227,55,301,781,833,443
"6",2016-04-08,1060,288,125,4200,2333,1824,695,438,669,717,222,103,221,2159,2041,106,528,1296,1601,732
"7",2016-04-09,995,281,106,3877,2089,1743,669,403,662,678,223,77,229,1883,1994,75,497,1246,1355,734
"8",2016-04-10,981,275,100,3753,1987,1705,644,382,660,663,215,85,210,1861,1892,111,494,1211,1318,669
"9",2016-04-11,846,238,94,3317,1748,1528,562,313,623,592,213,63,178,1630,1685,94,451,1077,1153,595
"10",2016-04-12,875,243,92,3448,1870,1542,596,376,565,601,182,76,186,1710,1738,85,443,1099,1247,623
"11",2016-04-13,1091,310,119,4230,2256,1924,724,453,734,737,215,93,244,2114,2114,116,589,1335,1491,765
"12",2016-04-14,858,242,83,3358,1782,1550,575,360,592,598,184,63,191,1635,1723,75,446,1104,1172,610
"13",2016-04-15,1142,310,116,4320,2330,1941,751,435,706,800,253,95,228,2120,2200,113,551,1390,1529,801
"14",2016-04-16,1168,312,127,4462,2341,2051,788,456,769,826,279,87,238,2183,2279,130,598,1453,1535,806
"15",2016-04-17,1029,291,114,3895,2040,1811,689,428,680,703,204,70,242,1905,1990,103,544,1267,1329,711
"16",2016-04-18,593,173,61,2255,1176,1058,378,236,412,410,138,43,133,1072,1183,41,291,767,765,411
"17",2016-04-19,1141,313,131,4501,2440,2011,784,416,813,782,236,103,237,2240,2261,123,569,1442,1634,806
"18",2016-04-20,1126,314,128,4447,2340,2038,771,468,809,761,245,80,259,2203,2244,83,647,1391,1503,837
"19",2016-04-21,1017,273,105,3930,2125,1767,659,382,682,703,226,101,193,1898,2032,70,459,1308,1408,717
"20",2016-04-22,1118,311,115,4289,2253,1986,727,401,761,824,262,76,199,2068,2221,90,547,1439,1488,765
"21",2016-04-23,1151,313,122,4511,2444,2007,814,425,783,799,271,85,242,2159,2352,102,560,1447,1559,885
"22",2016-04-24,1292,331,142,5012,2664,2281,847,465,925,891,316,109,271,2411,2597,124,597,1684,1767,897
"23",2016-04-25,964,268,104,3786,2006,1757,642,371,714,672,226,75,208,1851,1935,74,531,1226,1301,705
"24",2016-04-26,1117,307,104,4278,2312,1904,767,391,726,787,259,81,226,2057,2220,97,512,1392,1494,817
"25",2016-04-27,1082,290,120,4330,2387,1918,752,386,800,732,230,101,237,2152,2178,105,556,1362,1577,810
"26",2016-04-28,536,154,55,2116,1160,937,365,225,363,349,114,61,119,1048,1067,43,277,660,756,404
"27",2016-04-29,1095,309,119,4270,2310,1918,739,399,759,760,239,91,226,2123,2147,110,565,1353,1531,779
"28",2016-04-30,1046,288,116,4128,2264,1822,747,392,701,729,222,91,206,2106,2022,126,539,1283,1531,733
"29",2016-05-01,1146,311,127,4448,2348,2040,813,444,794,802,264,81,245,2106,2342,114,564,1476,1498,850
"30",2016-05-02,749,211,78,2869,1580,1257,520,266,483,508,178,60,170,1419,1449,68,373,884,1028,552
"31",2016-05-03,1086,310,110,4231,2317,1878,767,389,726,763,224,86,224,2086,2145,99,539,1339,1524,793
"32",2016-05-04,1128,315,119,4318,2261,2023,725,422,793,808,264,88,219,2055,2263,89,549,1474,1483,778
"33",2016-05-05,820,225,86,3132,1638,1463,524,296,567,600,200,59,149,1482,1649,58,396,1067,1069,569
"34",2016-05-06,1029,288,106,3909,2078,1788,687,393,685,710,234,82,214,1943,1966,105,529,1259,1379,699
"35",2016-05-07,1250,320,142,4839,2557,2229,818,494,839,896,290,91,246,2329,2505,106,606,1623,1687,869
"36",2016-05-08,1173,320,126,4631,2430,2136,786,491,852,793,252,85,267,2249,2382,93,623,1513,1571,859
"37",2016-05-09,858,231,91,3272,1773,1456,538,316,553,587,188,84,175,1621,1651,60,387,1069,1202,571
"38",2016-05-10,1084,289,104,4130,2171,1908,702,390,729,789,276,76,203,2016,2114,98,545,1363,1434,737
"39",2016-05-11,1314,319,141,5027,2636,2322,838,534,893,895,286,99,284,2460,2566,106,685,1637,1722,914
"40",2016-05-12,616,167,66,2296,1211,1073,382,245,393,435,157,45,132,1126,1170,48,313,760,807,404
"41",2016-05-13,1112,293,116,4329,2284,1994,732,453,773,768,244,95,229,2134,2194,94,581,1413,1514,770
"42",2016-05-14,1254,320,127,4759,2576,2113,854,401,824,888,284,106,236,2300,2457,98,587,1526,1668,908
"43",2016-05-15,1173,311,131,4559,2431,2066,796,442,821,803,260,92,258,2199,2360,95,587,1479,1565,866
"44",2016-05-16,636,175,67,2385,1233,1115,408,228,423,464,176,45,115,1148,1237,63,310,805,809,424
"45",2016-05-17,1128,318,107,4205,2209,1966,724,430,738,798,271,71,250,2005,2200,92,569,1397,1418,791
"46",2016-05-18,1225,325,124,4781,2528,2190,817,519,833,838,252,96,263,2408,2367,113,667,1523,1697,831
"47",2016-05-19,812,225,79,3157,1652,1477,544,337,584,556,168,53,190,1554,1603,67,445,1032,1090,562
"48",2016-05-20,1158,317,119,4428,2319,2056,744,436,797,823,266,87,220,2140,2288,79,593,1463,1504,815
"49",2016-05-21,1102,315,117,4403,2331,2023,744,448,836,739,204,99,248,2159,2244,91,577,1446,1547,784
"50",2016-05-22,1088,295,110,4058,2034,1940,664,397,747,796,240,60,205,1922,2136,78,552,1388,1307,727
"51",2016-05-23,876,230,82,3290,1704,1546,579,292,613,641,200,55,164,1527,1763,55,431,1115,1065,639
"52",2016-05-24,1142,316,119,4483,2346,2083,740,440,875,768,245,101,252,2221,2259,90,633,1450,1547,799
"53",2016-05-25,1186,312,129,4511,2301,2142,765,472,840,830,301,67,268,2167,2344,97,627,1515,1488,813
"54",2016-05-26,521,146,51,2046,1055,972,328,232,389,351,117,36,129,1008,1038,42,296,676,697,358
"55",2016-05-27,1125,308,114,4184,2172,1971,698,405,766,800,275,65,239,2031,2152,90,565,1406,1439,733
"56",2016-05-28,1167,320,138,4517,2393,2078,812,378,873,827,300,79,236,2179,2337,113,613,1465,1532,860
"57",2016-05-29,1167,311,126,4598,2381,2164,738,464,904,796,251,101,248,2250,2348,92,625,1539,1584,797
"58",2016-05-30,1065,308,94,3995,2053,1894,693,411,721,762,230,64,222,1958,2036,84,627,1267,1301,752
"59",2016-05-31,1129,316,124,4395,2351,2017,754,405,810,802,276,91,225,2178,2217,104,570,1447,1589,762
"60",2016-06-01,1188,312,128,4623,2429,2153,746,510,847,796,258,100,275,2238,2385,93,615,1538,1597,832
"61",2016-06-02,864,232,90,3186,1650,1489,557,314,564,611,209,54,179,1566,1620,69,450,1039,1082,568
"62",2016-06-03,1100,310,107,4325,2342,1938,752,423,773,742,242,97,241,2091,2234,100,538,1400,1517,825
"63",2016-06-04,1158,314,126,4496,2386,2051,731,398,793,860,280,95,187,2192,2304,84,537,1514,1608,778
"64",2016-06-05,1117,320,118,4320,2183,2080,701,502,831,747,249,82,270,2144,2176,85,638,1442,1458,725
"65",2016-06-06,659,186,64,2469,1266,1178,437,288,444,446,145,38,164,1195,1273,51,360,818,816,450
"66",2016-06-07,1176,317,123,4570,2449,2066,794,438,815,813,247,97,255,2261,2309,92,603,1463,1620,829
"67",2016-06-08,1142,307,126,4378,2251,2073,733,431,821,821,280,72,235,2139,2239,94,600,1473,1500,751
"68",2016-06-09,681,188,72,2573,1361,1184,427,250,450,484,164,45,137,1213,1360,45,326,858,866,495
"69",2016-06-10,1147,308,110,4352,2234,2070,715,474,799,797,252,82,246,2183,2169,96,662,1408,1486,748
"70",2016-06-11,1136,314,123,4257,2240,1980,709,433,746,801,255,95,220,2129,2128,101,573,1407,1529,711
"71",2016-06-12,1121,314,124,4391,2289,2066,737,474,838,754,249,84,267,2093,2294,74,606,1460,1464,825
"72",2016-06-13,818,210,85,3182,1681,1456,515,310,573,573,199,79,151,1569,1613,62,414,1042,1122,559
"73",2016-06-14,1136,307,118,4337,2270,2031,717,461,787,783,265,86,247,2160,2177,103,610,1421,1521,749
"74",2016-06-15,1226,331,132,4724,2445,2199,795,477,871,851,287,84,259,2330,2390,96,655,1544,1609,836
"75",2016-06-16,768,209,72,2975,1558,1385,506,274,567,544,185,49,163,1401,1574,45,375,1010,999,559
"76",2016-06-17,1152,304,116,4453,2329,2084,768,455,825,804,260,92,240,2152,2301,93,603,1481,1514,815
"77",2016-06-18,1152,320,130,4427,2238,2124,740,433,877,814,296,76,237,2139,2288,105,613,1511,1475,763
"78",2016-06-19,1103,304,111,4261,2192,2001,706,426,792,783,245,57,238,2068,2192,77,572,1429,1443,749
"79",2016-06-20,755,213,75,2874,1459,1381,482,300,540,541,183,43,160,1415,1459,52,450,931,945,514
"80",2016-06-21,1137,305,120,4353,2292,2026,709,465,760,801,272,80,236,2137,2212,85,590,1436,1523,769
"81",2016-06-22,1101,300,118,4306,2263,2001,706,466,784,751,253,76,257,2157,2149,106,582,1419,1541,722
"82",2016-06-23,720,190,79,2822,1446,1337,421,246,567,524,176,61,119,1400,1421,50,394,943,977,468
"83",2016-06-24,1186,322,134,4609,2423,2126,781,436,846,844,293,90,220,2297,2312,96,641,1485,1609,814
"84",2016-06-25,1229,310,120,4726,2513,2166,785,431,843,892,299,99,221,2289,2437,95,582,1584,1672,841
"85",2016-06-26,1130,303,109,4158,2141,1977,686,417,747,813,284,79,219,1985,2172,90,552,1425,1404,737
"86",2016-06-27,883,237,92,3331,1745,1560,544,333,604,623,241,71,174,1564,1767,70,397,1163,1153,592
"87",2016-06-28,1238,324,131,4678,2491,2137,809,450,818,869,300,105,244,2310,2368,85,638,1499,1632,859
"88",2016-06-29,1208,311,127,4601,2373,2171,755,440,862,869,298,88,230,2232,2365,83,642,1529,1547,826
"89",2016-06-30,846,232,91,3472,1808,1612,549,388,677,547,192,81,200,1728,1744,38,500,1112,1192,616
"90",2016-07-01,1252,318,128,4783,2493,2237,798,494,877,866,273,87,274,2368,2415,98,661,1576,1667,826
"91",2016-07-02,1157,309,114,4478,2367,2067,764,435,816,816,276,80,239,2171,2306,94,585,1482,1554,813
"92",2016-07-03,1195,327,135,4621,2429,2138,772,487,831,820,298,99,250,2228,2393,78,612,1526,1578,851
"93",2016-07-04,1125,310,116,4339,2285,2011,719,433,758,820,269,80,212,2044,2295,43,566,1445,1456,829
"94",2016-07-05,1150,317,114,4360,2301,2024,759,416,781,827,288,84,224,2108,2252,93,584,1440,1500,801
"95",2016-07-06,1159,318,119,4556,2327,2168,711,478,894,796,269,80,262,2219,2337,89,618,1550,1553,774
"96",2016-07-07,846,230,88,3270,1725,1508,556,335,603,570,186,66,194,1587,1683,69,428,1080,1129,596
"97",2016-07-08,1151,315,125,4477,2338,2104,705,456,856,792,273,99,240,2159,2318,64,589,1515,1541,797
"98",2016-07-09,1132,314,117,4456,2324,2080,729,437,856,787,266,90,241,2162,2290,87,601,1479,1530,794
"99",2016-07-10,1131,307,115,4389,2232,2129,693,477,870,782,266,81,257,2061,2328,89,591,1538,1453,779
"100",2016-07-15,1110,310,129,4362,2332,1997,717,441,779,777,244,84,235,2190,2171,80,622,1375,1547,785
"101",2016-07-16,1123,309,126,4322,2290,1967,762,410,767,790,221,90,221,2147,2174,88,598,1369,1497,793
"102",2016-07-17,1139,314,118,4333,2235,2043,719,471,780,792,224,77,245,2082,2247,71,582,1461,1461,774
"103",2016-07-18,802,223,82,3093,1625,1438,494,310,578,550,173,69,168,1568,1525,65,448,990,1102,523
"104",2016-07-19,1057,289,116,4101,2181,1882,676,420,724,738,230,78,226,2094,2007,92,610,1272,1459,722
"105",2016-07-20,1224,321,122,4597,2407,2167,753,445,848,874,296,88,246,2301,2296,98,644,1523,1634,773
"106",2016-07-21,644,191,66,2542,1327,1185,455,255,466,464,154,30,141,1208,1334,57,348,837,838,489
"107",2016-07-22,1168,318,126,4469,2308,2088,713,494,794,800,229,83,252,2227,2242,77,636,1452,1538,770
"108",2016-07-23,1159,309,127,4532,2359,2129,768,452,862,815,283,79,242,2183,2347,113,601,1528,1554,805
"109",2016-07-24,1129,321,122,4432,2315,2084,695,418,866,800,265,97,221,2200,2228,100,617,1467,1566,749
"110",2016-07-25,745,200,80,2904,1568,1316,511,294,504,518,160,58,162,1459,1445,66,411,905,1032,536
"111",2016-07-26,1224,315,140,4729,2497,2179,809,470,851,858,272,97,245,2335,2394,93,654,1525,1637,860
"112",2016-07-27,1107,302,111,4173,2140,2002,743,448,780,774,251,78,245,1900,2273,85,546,1456,1332,808
"113",2016-07-28,662,190,69,2620,1351,1220,467,254,503,463,152,43,143,1276,1337,56,374,846,867,484
"114",2016-07-29,1137,312,119,4376,2331,1997,725,389,778,830,257,95,198,2187,2189,91,596,1401,1557,774
"115",2016-07-30,1110,316,120,4372,2313,2014,759,442,805,767,238,82,243,2087,2285,87,575,1439,1485,828
"116",2016-07-31,1147,327,138,4496,2428,2024,799,471,800,753,233,107,261,2252,2244,126,606,1418,1608,820
"117",2016-08-01,645,174,71,2597,1414,1154,446,266,465,423,133,55,155,1310,1287,59,341,813,943,471
"118",2016-08-02,1138,310,122,4366,2239,2084,741,474,814,796,280,83,240,2154,2212,90,644,1440,1478,761
"119",2016-08-03,1147,313,110,4338,2258,2033,721,447,775,811,271,83,232,2093,2245,65,615,1418,1443,815
"120",2016-08-04,906,247,104,3534,1841,1660,595,349,673,638,197,64,192,1728,1806,80,483,1177,1223,618
"121",2016-08-05,1109,305,115,4270,2248,1975,737,430,762,783,233,81,228,2124,2146,87,609,1366,1473,775
"122",2016-08-06,1164,317,124,4518,2374,2105,703,440,844,821,300,95,231,2244,2274,83,598,1507,1619,755
"123",2016-08-07,1140,319,120,4420,2325,2049,781,440,824,785,252,88,243,2111,2309,95,565,1484,1509,816
"124",2016-08-08,717,194,81,2767,1462,1260,473,289,462,509,161,50,146,1396,1371,61,375,885,986,476
"125",2016-08-09,1156,313,120,4569,2454,2080,790,477,811,792,257,99,256,2195,2373,78,566,1513,1613,841
"126",2016-08-10,1066,297,132,4239,2174,2022,706,420,849,753,222,77,224,2020,2215,83,576,1446,1416,758
"127",2016-08-11,882,220,86,3373,1817,1519,546,307,577,635,228,68,165,1724,1647,69,460,1059,1236,581
"128",2016-08-12,1134,312,117,4412,2281,2095,765,450,861,784,270,74,262,2141,2271,86,630,1465,1482,799
"129",2016-08-13,1146,315,127,4375,2277,2064,715,442,812,810,278,92,232,2131,2244,106,588,1476,1525,752
"130",2016-08-14,1155,316,118,4336,2253,2044,711,438,759,847,292,76,216,2095,2239,76,592,1452,1476,777
"131",2016-08-15,760,204,87,2999,1597,1385,502,301,554,530,170,76,145,1469,1530,57,396,989,1057,540
"132",2016-08-16,1225,320,140,4872,2624,2210,815,504,870,836,272,112,255,2450,2422,96,676,1534,1748,876
"133",2016-08-17,1146,309,127,4489,2334,2091,757,469,840,782,282,87,254,2139,2350,101,555,1536,1537,797
"134",2016-08-18,841,235,92,3201,1680,1479,541,328,559,592,213,65,170,1567,1634,69,424,1055,1109,571
"135",2016-08-19,1232,316,136,4672,2458,2141,778,451,826,864,313,95,249,2309,2363,86,610,1531,1638,820
"136",2016-08-20,1120,307,117,4262,2254,1984,730,444,730,810,275,73,231,2067,2195,102,549,1435,1506,748
"137",2016-08-21,1083,307,103,4227,2153,2032,702,475,796,761,242,65,249,2057,2170,76,615,1417,1415,738
"138",2016-08-22,676,190,70,2652,1435,1198,456,269,464,465,155,57,145,1342,1310,74,359,839,971,464
"139",2016-08-23,1112,312,119,4355,2356,1966,746,445,753,768,253,97,236,2151,2204,69,586,1380,1543,813
"140",2016-08-24,1187,315,128,4535,2359,2113,778,441,827,845,291,79,244,2139,2396,79,577,1536,1511,848
"141",2016-08-25,814,226,88,3146,1614,1492,523,324,588,580,167,56,167,1490,1656,61,424,1068,1031,583
"142",2016-08-26,1160,321,120,4504,2335,2121,753,453,878,790,268,95,256,2198,2306,75,640,1481,1523,812
"143",2016-08-27,1152,328,124,4575,2357,2157,750,503,860,794,284,78,257,2328,2246,118,671,1486,1611,746
"144",2016-08-28,1098,313,118,4297,2212,2030,736,413,826,791,249,60,222,2099,2198,92,615,1415,1443,769
"145",2016-08-29,1023,273,110,4109,2190,1875,678,428,773,674,227,88,242,2099,2010,102,580,1295,1486,704
"146",2016-08-30,1037,287,112,4033,2084,1903,675,416,753,734,232,79,209,1993,2040,90,565,1338,1393,691
"147",2016-08-31,1205,317,128,4706,2496,2178,764,467,856,855,261,104,233,2340,2366,80,658,1520,1655,841
"148",2016-09-01,305,90,39,1190,629,552,199,122,213,217,73,24,59,597,593,29,177,375,411,218
"149",2016-09-02,1170,323,140,4580,2398,2132,755,462,872,798,268,107,242,2305,2271,93,653,1479,1615,783
"150",2016-09-03,1156,320,139,4479,2362,2066,765,441,828,797,270,107,233,2209,2270,96,593,1473,1577,785
"151",2016-09-04,1203,328,143,4738,2398,2275,729,509,955,811,269,94,273,2266,2468,79,645,1630,1578,820
