"","playerid","#","Season","Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K_9","BB_9","K_BB","H_9","HR_9","AVG","WHIP","BABIP","LOB_pct","FIP","GB_FB","LD_pct","GB_pct","FB_pct","IFFB_pct","HR_FB","IFH_pct","BUH_pct","Starting","Start_IP","Relieving","Relief_IP","RAR","WAR","Dollars","tERA","xFIP","WPA","WPA_minus","WPA_plus","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA_LI","Clutch","FBall_pct","FBv","SL_pct","SLv","CT_pct","CTv","CB_pct","CBv","CH_pct","CHv","SF_pct","SFv","KN_pct","KNv","XX_pct","PO_pct","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB_C","wSL_C","wCT_C","wCB_C","wCH_C","wSF_C","wKN_C","O-Swing_pct","Z-Swing_pct","Swing_pct","O-Contact_pct","Z-Contact_pct","Contact_pct","Zone_pct","F-Strike_pct","SwStr_pct","HLD","SD","MD","ERA-","FIP-","xFIP-","K_pct","BB_pct","SIERA","RS_9","E-F","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","AgeRng","K-BB_pct","Pull_pct","Cent_pct","Oppo_pct","Soft_pct","Med_pct","Hard_pct","kwERA","TTO_pct","Dol","key_mlbam"
"44",15734,"44","2022","Brad Keller","KCR",26,1,6,4.15,10,10,0,0,0,0,60.2,252,57,30,28,7,18,0,0,1,0,33,100,63,37,6,330,567,897,12,3,1,0,4.9,2.67,1.83,8.46,1.04,0.244,1.24,0.258,69,4.45,1.59,18.5,50,31.5,9.5,11.1,3,0,4.3,60.2,NA,NA,4.3,0.4,3.5,4.72,4.43,-0.37,-3.93,3.56,-1.85,-0.24,0.83,0.89,0.86,0.97,10,-0.02,-0.42,57.2,93.3,36.1,86.7,NA,NA,NA,NA,6.7,89.5,NA,NA,NA,NA,NA,NA,-6.8,7.3,NA,NA,0.5,NA,NA,-1.32,2.26,NA,NA,0.89,NA,NA,31.7,70.6,47.9,68.7,91.3,82.6,41.7,56,8.4,0,0,0,107,115,113,13.1,7.1,4.76,1.78,-0.3,19.5,0.6,0.4,-0.2,0.2,NA,6,39.8,38.3,21.9,15.9,55.7,28.4,5.14,23,3.5,641745
"45",7593,"45","2022","Jordan Lyles","BAL",31,3,4,4.5,11,11,0,0,0,0,62,272,73,36,31,7,19,0,4,2,0,54,85,64,44,10,382,655,1037,29,7,2,1,7.84,2.76,2.84,10.6,1.02,0.293,1.48,0.351,69.6,3.99,1.33,22.8,44,33.2,15.6,10.9,8.2,50,10.4,62,NA,NA,10.4,1.1,8.9,4.56,3.99,-1.02,-5.39,4.37,-8.35,-0.91,1,0.93,0.87,1.35,11,-0.74,-0.28,47.3,91.6,24.8,80.3,NA,NA,11.9,79.4,16,86.5,NA,NA,NA,NA,NA,NA,-3.2,-2.1,NA,0.3,-4,NA,NA,-0.66,-0.84,NA,0.23,-2.41,NA,NA,32.3,67.7,46.5,67.2,87.9,79.3,40,62.5,9.6,0,0,0,116,95,101,19.9,7,4.07,4.21,0.51,21.8,0.1,-1,0,-1,NA,12.9,47.2,34.4,18.5,16.9,51.8,31.3,4.31,29.4,8.9,543475
"46",13896,"46","2022","Chris Flexen","SEA",27,2,6,4.55,10,10,0,0,0,0,55.1,239,60,28,28,9,18,0,1,1,0,40,63,78,36,8,332,530,862,22,4,3,1,6.51,2.93,2.22,9.76,1.46,0.273,1.41,0.298,76.8,4.85,0.81,20.3,35.6,44.1,10.3,11.5,6.3,33.3,1.2,55.1,NA,NA,1.2,0.1,1,4.82,4.75,-0.3,-3.78,3.48,-1.32,-0.12,0.83,0.8,0.86,0.91,10,-0.74,0.39,42.1,91.5,NA,NA,35.2,87.1,6.4,75.4,16.4,80.9,NA,NA,NA,NA,NA,NA,-0.3,NA,0.3,-5.4,-0.5,NA,NA,-0.08,NA,0.09,-9.73,-0.33,NA,NA,32.2,73.9,47.6,68.6,89.8,80.7,36.9,59.8,9.2,0,0,0,125,127,121,16.7,7.5,4.71,3.58,-0.29,23.1,0.3,-0.2,0.4,0.1,NA,9.2,37.2,33.9,28.9,12.8,52.8,34.4,4.75,28,1,623167
"47",19951,"47","2022","Ian Anderson","ATL",24,4,3,4.7,10,10,0,0,0,0,53.2,231,51,29,28,8,24,0,0,1,0,45,73,55,34,7,357,572,929,43,4,0,0,7.55,4.02,1.88,8.55,1.34,0.246,1.4,0.279,72.1,4.75,1.33,21,45.1,34,12.7,14.5,5.5,0,2.3,53.2,NA,NA,2.3,0.2,1.9,5.18,4.28,0.08,-4.12,4.2,-1.11,-0.07,1.03,0.92,0.88,0.84,10,-0.49,0.57,47.4,93.7,NA,NA,NA,NA,21.5,81.6,31.1,87.9,NA,NA,NA,NA,NA,NA,2.7,NA,NA,-4.1,-2.6,NA,NA,0.61,NA,NA,-2.07,-0.9,NA,NA,31.1,76.6,48.2,57.2,86.6,74.8,37.7,55.4,12.2,0,0,0,111,119,107,19.5,10.4,4.54,7.21,-0.06,23.1,0.5,0.1,0.2,0.3,NA,9.1,51.9,31.5,16.7,16.7,54.9,28.4,4.77,33.3,1.9,666120
"48",17578,"48","2022","JT Brubaker","PIT",28,0,5,4.7,11,11,0,0,0,0,51.2,236,51,35,27,8,24,0,2,3,1,53,64,66,27,7,330,530,860,20,9,0,0,9.23,4.18,2.21,8.88,1.39,0.243,1.45,0.289,63.8,4.62,0.97,17.2,40.8,42,10.6,12.1,14.1,0,3.1,51.2,NA,NA,3.1,0.3,2.5,4.3,4.43,-1.16,-4.82,3.66,-10.34,-1.09,0.97,0.85,0.87,1.07,11,-0.56,-0.63,48.7,93.2,32.6,87.1,NA,NA,11.6,80.3,7.1,87.5,NA,NA,NA,NA,NA,NA,0.2,-4.7,NA,-1.4,-2.1,NA,NA,0.05,-1.67,NA,-1.36,-3.47,NA,NA,29.8,66.1,44,54.5,89.2,74.9,39.1,59.7,11,0,0,0,115,116,111,22.5,10.2,4.25,3.48,0.08,20.7,-0.3,0,-0.6,-0.6,NA,12.3,42.7,29.3,28,19.1,47.1,33.8,4.38,36,2.5,664141
"49",24580,"49","2022","Josiah Gray","WSN",24,6,4,4.71,11,11,0,0,0,0,57.1,244,47,31,30,14,28,0,4,3,0,63,33,76,38,8,386,590,976,42,1,2,1,9.89,4.4,2.25,7.38,2.2,0.222,1.31,0.244,80.8,5.8,0.43,25.9,22.4,51.7,10.5,18.4,3,50,-2.4,57.1,NA,NA,-2.4,-0.2,NA,6.68,4.52,-0.65,-4.42,3.78,-3.64,-0.35,0.87,0.84,0.85,0.75,11,-0.72,-0.02,45.7,94,28,85.3,NA,NA,23.3,82.4,3.1,87.7,NA,NA,NA,NA,NA,NA,-7.5,1.4,NA,0.8,-2.1,NA,NA,-1.68,0.52,NA,0.37,-7.03,NA,NA,29,67.4,44.2,57.3,81.9,72.2,39.5,57.4,12.3,0,0,0,112,142,113,25.8,11.5,4.26,6.59,-1.09,25.6,0.6,0.5,0.4,0.8,NA,14.3,43,36.2,20.8,16.8,50.3,32.9,4.14,43,-1.9,680686
"50",20370,"50","2022","Bruce Zimmermann","BAL",27,2,4,4.87,11,11,0,0,0,0,57.1,240,66,34,31,13,11,0,2,1,0,42,72,73,37,6,285,586,871,24,7,3,0,6.59,1.73,3.82,10.36,2.04,0.291,1.34,0.308,74,5.31,0.99,20.3,39.6,40.1,8.2,17.8,9.7,0,1.6,57.1,NA,NA,1.6,0.2,1.3,5.73,4.18,-0.55,-4.41,3.86,-5.91,-0.62,0.89,0.86,0.87,1.18,11,-1.5,0.88,38.4,90.6,18.3,85,NA,NA,13.3,80.9,30,84.8,NA,NA,NA,NA,0.1,NA,-9.7,2.9,NA,3.8,-4.7,NA,NA,-2.91,1.84,NA,3.24,-1.8,NA,NA,35.8,67.2,49.9,70.9,88.9,81.8,44.8,65.4,9.1,0,0,0,126,128,106,17.5,4.6,4.21,3.77,-0.45,23.4,0.1,-0.3,0.2,-0.1,NA,12.9,53,29.2,17.8,9.7,58.4,31.9,4.31,27.5,1.3,669145
"51",19979,"51","2022","Zach Plesac","CLE",27,1,4,4.93,9,9,0,0,0,0,49.1,215,54,31,27,8,13,0,3,1,0,33,63,62,40,4,256,512,768,15,2,1,1,6.02,2.37,2.54,9.85,1.46,0.271,1.36,0.291,66.3,4.89,1.02,24.2,38.2,37.6,6.5,12.9,3.2,100,0.5,49.1,NA,NA,0.5,0,0.4,5.72,4.58,-0.56,-3.85,3.28,-6.58,-0.74,0.95,0.88,0.89,0.97,9,-0.02,-0.57,44.9,91.6,22.5,84.6,NA,NA,10.2,78.9,22.4,85.1,NA,NA,NA,NA,NA,NA,-3.9,-1,NA,-1,-0.1,NA,NA,-1.13,-0.58,NA,-1.33,-0.06,NA,NA,33.1,71.6,50.4,70,89.9,82.7,44.9,65.1,8.7,0,0,0,129,126,117,15.3,6,4.63,2.74,0.03,21.2,-0.2,-0.1,-0.2,-0.3,NA,9.3,48.2,30.7,21.1,12.7,53.6,33.7,4.74,25.1,0.4,668676
"52",11486,"52","2022","Robbie Ray","SEA",30,4,6,4.93,11,11,0,0,0,0,65.2,273,58,36,36,11,24,0,2,3,0,74,63,73,36,10,365,659,1024,30,2,1,1,10.14,3.29,3.08,7.95,1.51,0.235,1.25,0.29,70,4.26,0.86,20.9,36.6,42.4,13.7,15.1,3.2,100,5.8,65.2,NA,NA,5.8,0.6,4.8,4.23,3.67,-0.94,-5.74,4.8,-7.22,-0.79,1,0.9,0.88,0.96,11,-0.57,-0.37,55.5,93.2,42,87,NA,NA,2.4,78.8,0.1,85,NA,NA,NA,NA,NA,NA,1.3,-1.3,NA,-2,0.3,NA,NA,0.22,-0.3,NA,-7.89,33.57,NA,NA,33.8,78.4,53.1,48,81.6,69.5,43.4,66.7,16.2,0,0,0,136,111,93,27.1,8.8,3.57,4.11,0.67,23.1,0,-0.1,-0.5,-0.6,NA,18.3,50.3,31.2,18.5,15.6,51.4,32.9,3.66,39.9,4.8,592662
"53",16256,"53","2022","Kyle Freeland","COL",29,1,5,4.96,10,10,0,0,0,0,52.2,241,63,34,29,5,19,0,5,2,0,42,78,55,42,9,320,553,873,24,4,0,0,7.18,3.25,2.21,10.77,0.85,0.29,1.56,0.341,66.3,4.15,1.42,24,44.6,31.4,16.4,9.1,5.1,0,8.2,52.2,NA,NA,8.2,0.9,6.9,5.42,4.41,-0.72,-4.54,3.83,-3.15,-0.27,0.92,0.8,0.88,0.98,10,-0.24,-0.53,38.8,90.2,24.5,85.1,NA,NA,19.1,80.3,17.5,85.2,NA,NA,NA,NA,NA,NA,-2.9,-0.4,NA,-2.3,-4.9,NA,NA,-0.87,-0.21,NA,-1.36,-3.23,NA,NA,31.3,72.2,47.4,63,89.6,79,39.5,63.1,10,0,0,0,105,99,110,17.4,7.9,4.43,4.1,0.8,23.8,0.4,-0.6,0.1,-0.5,NA,9.5,40.6,38.3,21.1,20.6,46.9,32.6,4.71,27.4,6.9,607536
