"","playerid","#","Season","Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K_9","BB_9","K_BB","H_9","HR_9","AVG","WHIP","BABIP","LOB_pct","FIP","GB_FB","LD_pct","GB_pct","FB_pct","IFFB_pct","HR_FB","IFH_pct","BUH_pct","Starting","Start_IP","Relieving","Relief_IP","RAR","WAR","Dollars","tERA","xFIP","WPA","WPA_minus","WPA_plus","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA_LI","Clutch","FBall_pct","FBv","SL_pct","SLv","CT_pct","CTv","CB_pct","CBv","CH_pct","CHv","SF_pct","SFv","KN_pct","KNv","XX_pct","PO_pct","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB_C","wSL_C","wCT_C","wCB_C","wCH_C","wSF_C","wKN_C","O-Swing_pct","Z-Swing_pct","Swing_pct","O-Contact_pct","Z-Contact_pct","Contact_pct","Zone_pct","F-Strike_pct","SwStr_pct","HLD","SD","MD","ERA-","FIP-","xFIP-","K_pct","BB_pct","SIERA","RS_9","E-F","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","AgeRng","K-BB_pct","Pull_pct","Cent_pct","Oppo_pct","Soft_pct","Med_pct","Hard_pct","kwERA","TTO_pct","Dol","key_mlbam"
"1",6902,"1","2022","Martin Perez","TEX",31,4,2,1.42,10,10,1,1,0,0,63.1,242,45,14,10,0,14,0,2,3,0,49,98,54,23,5,316,560,876,23,8,2,0,6.96,1.99,3.5,6.39,0,0.199,0.93,0.254,77,2.36,1.81,13.1,56,30.9,9.3,0,8.2,0,17.5,63.1,NA,NA,17.5,2,16.1,1.96,3.58,1.93,-3.39,5.32,15.34,1.7,1.09,1.02,0.87,1.34,9,1.74,0.02,44.6,92.5,NA,NA,23.1,89.6,7.2,78.9,25.1,84.2,NA,NA,NA,NA,NA,NA,4.8,NA,7.3,-2.6,7.5,NA,NA,1.24,NA,3.63,-4.07,3.42,NA,NA,33.7,65.2,44.9,74.3,83.2,78.9,35.4,62.4,9.5,0,0,0,38,58,90,20.2,5.8,3.65,3.27,-0.94,24.9,2.6,0.5,0.1,0.6,NA,14.5,39,39,22,14.1,62.7,23.2,4.12,26,16.1,527048
"2",17874,"2","2022","Nestor Cortes","NYY",27,5,1,1.5,10,10,0,0,0,0,60,229,38,11,10,4,14,0,1,0,0,68,53,61,32,7,298,625,923,33,3,0,0,10.2,2.1,4.86,5.7,0.6,0.178,0.87,0.239,88.6,2.5,0.87,21.9,36.3,41.8,11.5,6.6,5.7,0,16.4,60,NA,NA,16.4,1.9,14.9,2.75,3.08,1.91,-2.24,4.15,15.99,1.77,0.9,0.95,0.86,1.07,10,1.72,0.41,41.8,90.9,15.4,77.1,39.3,86.3,NA,NA,3.5,82.3,NA,NA,NA,NA,NA,NA,6.2,-1.1,8.4,NA,1.2,NA,NA,1.62,-0.79,2.33,NA,3.77,NA,NA,34.8,66.8,48.6,72,84.6,79.5,43.3,71.2,10,0,0,0,40,61,77,29.7,6.1,3,4.95,-1,19.9,2.7,0.6,0.3,0.9,NA,23.6,41.1,32.2,26.7,13.7,63,23.3,3.03,37.6,14.9,641482
"3",12970,"3","2022","Joe Musgrove","SDP",29,6,0,1.64,10,10,0,0,0,0,66,258,47,16,12,4,14,0,3,1,0,64,81,58,36,8,318,634,952,39,4,1,0,8.73,1.91,4.57,6.41,0.55,0.195,0.92,0.249,82.2,2.77,1.4,20.6,46.3,33.1,13.8,6.9,4.9,0,16.9,66,NA,NA,16.9,1.9,15.2,2.9,3.24,1.57,-3,4.57,14.86,1.59,0.89,0.87,0.88,1.12,10,1.1,0.66,30.6,92.3,28.5,82.8,16,89.6,17.6,81.5,7.4,85.9,NA,NA,NA,NA,0.1,NA,6,6.8,-0.5,1.2,0,NA,NA,2.07,2.51,-0.35,0.71,-0.06,NA,NA,35.8,61.8,46.6,62.3,86.5,75.6,41.5,61.6,11.3,0,0,0,41,71,82,24.8,5.4,3.32,5.32,-1.13,22.2,2.8,0.7,0.2,0.9,NA,19.4,42.6,33.5,23.9,20.5,54,25.6,3.53,31.8,15.2,605397
"4",18684,"4","2022","Sandy Alcantara","MIA",26,6,2,1.81,11,11,1,0,0,0,74.2,287,49,20,15,4,24,1,5,1,0,71,97,62,26,10,383,719,1102,30,9,2,2,8.56,2.89,2.96,5.91,0.48,0.19,0.98,0.246,80.1,3.11,1.56,14.1,52.4,33.5,16.1,6.5,9.3,100,16.5,74.2,NA,NA,16.5,1.8,14.5,2.6,3.6,2.11,-3.89,6,14.99,1.58,1.04,0.98,0.87,0.88,10,1.27,0.75,50,97.6,24.3,89.8,NA,NA,0.3,85.3,25.3,91.8,NA,NA,NA,NA,0.5,NA,1.4,5,NA,0.1,7,NA,NA,0.25,1.86,NA,4.96,2.52,NA,NA,35.7,71.7,50.2,62,82.1,73.6,40.4,58.5,13.2,0,0,0,46,81,90,24.7,8.4,3.61,3.62,-1.3,21.1,2.9,0.7,0.4,1.1,NA,16.4,38.5,39.6,21.9,24.6,50.3,25.1,3.89,34.5,14.5,645261
"5",17085,"5","2022","Pablo Lopez","MIA",26,4,2,1.83,10,10,0,0,0,0,59,230,43,13,12,5,15,0,0,3,0,61,71,51,32,3,311,599,910,26,1,0,0,9.31,2.29,4.07,6.56,0.76,0.2,0.98,0.255,88.2,2.95,1.39,20.8,46.1,33.1,5.9,9.8,1.4,0,13.1,59,NA,NA,13.1,1.4,11.4,3.12,3.08,1.59,-2.5,4.08,14.12,1.44,0.86,0.92,0.87,0.83,10,1.3,0.53,44.4,92.9,NA,NA,14.4,89,4.1,80.1,37.1,87.4,NA,NA,NA,NA,NA,NA,3.6,NA,0.1,-0.4,7.1,NA,NA,0.88,NA,0.1,-1.14,2.09,NA,NA,35.6,67.4,48.8,56.8,81.5,70.9,41.4,64.3,14.2,0,0,0,46,77,78,26.5,6.5,3.26,3.97,-1.11,22.6,2.7,0.5,0.8,1.2,NA,20,48.7,30.5,20.8,23.4,51.9,24.7,3.46,35.2,11.4,641154
"6",26410,"6","2022","Alek Manoah","TOR",24,6,1,1.98,10,10,0,0,0,0,63.2,248,48,17,14,5,10,0,4,2,0,57,65,74,36,8,296,615,911,24,4,2,1,8.06,1.41,5.7,6.79,0.71,0.205,0.91,0.25,81.8,3.04,0.88,20.6,37.1,42.3,10.8,6.8,6.2,50,13.6,63.2,NA,NA,13.6,1.5,12.1,3.38,3.68,1.67,-3.65,5.32,13.76,1.44,1.05,1.04,0.88,1.39,10,1.18,0.41,59.1,93.7,31,81.1,NA,NA,NA,NA,10,86.4,NA,NA,NA,NA,NA,NA,7,4.4,NA,NA,-1.2,NA,NA,1.31,1.57,NA,NA,-1.3,NA,NA,35.9,73,51.9,67.7,81.5,76.1,43.1,65.7,12.4,0,0,0,50,76,93,23,4,3.53,3.39,-1.06,24.8,2.3,0.5,0.3,0.8,NA,19,44.1,28.8,27.1,19.8,60.5,19.8,3.58,29,12.1,666201
"7",21483,"7","2022","Shane McClanahan","TBR",25,6,2,2.1,11,11,0,0,0,0,64.1,247,47,16,15,8,12,0,1,3,0,89,77,40,28,2,306,659,965,32,4,0,0,12.45,1.68,7.42,6.58,1.12,0.201,0.92,0.285,90.2,2.6,1.93,19.3,53.1,27.6,5,20,5.2,0,14.8,64.1,NA,NA,14.8,1.6,13.1,2.63,1.88,1.42,-3.58,5,11.58,1.32,1.05,0.95,0.87,1.15,11,1.11,0.23,37.1,96.9,16.6,88.6,NA,NA,25.7,81.7,NA,NA,20.6,87.6,NA,NA,NA,NA,-0.5,0.2,NA,6.3,NA,6.5,NA,-0.15,0.1,NA,2.52,NA,3.26,NA,35.9,67.9,50.1,49.7,78.3,66.9,44.2,64,16.6,0,0,0,58,68,45,36,4.9,2.08,4.48,-0.51,20.5,2.3,0,0.7,0.6,NA,31.2,35.2,35.9,29,10.3,62.1,27.6,2.12,44.1,13.1,663556
"8",22267,"8","2022","Tarik Skubal","DET",25,4,2,2.15,10,10,0,0,0,0,58.2,226,46,17,14,2,10,0,0,0,0,61,71,50,32,6,285,613,898,28,7,2,2,9.36,1.53,6.1,7.06,0.31,0.213,0.95,0.288,73.3,2.02,1.42,20.9,46.4,32.7,12,4,9.9,100,19.1,58.2,NA,NA,19.1,2.2,17.8,2.34,2.8,0.92,-2.74,3.66,9.21,1.02,0.87,0.86,0.87,0.65,10,1.33,-0.26,48.1,94.4,30,89.6,NA,NA,8.1,76.9,13.8,84,NA,NA,NA,NA,NA,NA,3.5,8.9,NA,-3,2.4,NA,NA,0.81,3.33,NA,-4.17,1.92,NA,NA,34.7,70.8,51.1,62.9,85.1,76.9,45.4,61.1,11.8,0,0,0,56,49,70,27,4.4,2.97,4.3,0.12,20.8,1.9,-0.1,-0.3,-0.3,NA,22.6,34.8,41.3,23.9,15.5,54.2,30.3,3.15,32.3,17.8,669373
"9",14739,"9","2022","Paul Blackburn","OAK",28,5,1,2.15,10,10,0,0,0,0,54.1,213,41,13,13,3,12,1,3,0,0,41,78,40,37,4,295,499,794,33,8,2,0,6.79,1.99,3.42,6.79,0.5,0.207,0.98,0.247,83,3.19,1.95,23.9,50.3,25.8,10,7.5,10.3,0,9.8,54.1,NA,NA,9.8,1.1,8.5,3.82,3.52,1.05,-2.89,3.95,9.8,1.1,0.9,0.9,0.86,1.13,10,0.71,0.46,46.3,91.7,6.3,79.1,16.6,86.9,15.7,79,15,86.1,NA,NA,NA,NA,0.3,NA,5.6,-0.3,0.1,4.4,-2.7,NA,NA,1.53,-0.63,0.04,3.56,-2.26,NA,NA,28.9,66.3,43.3,63.8,85.2,76.5,38.5,65.7,10.2,0,0,0,59,82,89,19.2,5.6,3.75,5.47,-1.03,24.9,2,0.5,0.4,0.9,NA,13.6,40.1,35,24.8,17.2,56.7,26.1,4.22,26.3,8.5,621112
"10",22250,"10","2022","Logan Gilbert","SEA",25,5,2,2.22,11,11,0,0,0,0,65,261,48,19,16,5,19,1,3,1,0,67,62,66,43,8,364,701,1065,36,5,1,0,9.28,2.63,3.53,6.65,0.69,0.201,1.03,0.257,81,3.1,0.94,25.1,36.3,38.6,12.1,7.6,8.1,0,13.2,65,NA,NA,13.2,1.4,11.6,3.59,3.55,0.46,-3.63,4.09,9.48,1.06,0.91,0.83,0.87,0.7,11,1.08,-0.57,55.5,95.8,25.5,87.3,NA,NA,10.4,80.5,8.5,86,NA,NA,NA,NA,0.4,NA,5.2,0.7,NA,1.8,1.8,NA,NA,0.88,0.24,NA,1.58,1.99,NA,NA,30.5,76.4,51.1,68.2,82.2,77.6,44.9,62.1,11.5,0,0,0,61,80,90,25.7,7.3,3.54,4.98,-0.89,20.4,1.9,0.4,0.1,0.5,NA,18.4,38.4,38.4,23.3,18.6,42.4,39,3.65,34.9,11.6,669302
"11",8700,"11","2022","Justin Verlander","HOU",39,6,2,2.23,10,10,0,0,0,0,64.2,241,40,16,16,9,12,0,3,0,0,61,62,74,27,12,292,637,929,29,2,2,1,8.49,1.67,5.08,5.57,1.25,0.177,0.8,0.199,92,3.77,0.84,16.6,38,45.4,16.2,12.2,3.2,50,10.5,64.2,NA,NA,10.5,1.1,9.1,3.43,3.59,1.18,-2.78,3.96,12.66,1.37,0.85,0.89,0.87,0.71,10,1.14,0.24,49.4,94.8,31.3,87.2,NA,NA,17.8,78.4,1.5,85.4,NA,NA,NA,NA,NA,NA,7.9,3.1,NA,2.5,0.4,NA,NA,1.73,1.08,NA,1.51,2.52,NA,NA,33.8,78.2,53.7,72.8,83.7,80,44.9,65.1,10.8,0,0,0,60,96,91,25.3,5,3.37,4.04,-1.54,23.9,2.5,1.2,0.2,1.3,NA,20.3,30.9,38.8,30.3,21.2,49.7,29.1,3.42,34,9.1,434378
"12",11674,"12","2022","Jameson Taillon","NYY",30,6,1,2.3,10,10,0,0,0,0,58.2,229,48,15,15,4,5,0,2,2,0,44,77,69,28,11,275,559,834,26,3,3,1,6.75,0.77,8.8,7.36,0.61,0.216,0.9,0.253,81,2.89,1.12,16.1,44.3,39.7,15.9,5.8,3.9,33.3,14.6,58.2,NA,NA,14.6,1.6,13.1,2.63,3.69,0.91,-3.69,4.59,10.91,1.21,1.05,1.02,0.88,1.48,10,1.03,-0.16,46.2,94,17.6,86.1,13.8,90.3,14,81.1,8.4,87.8,NA,NA,NA,NA,NA,NA,1.4,-1.8,0.3,1.2,6,NA,NA,0.37,-1.21,0.23,1.07,8.52,NA,NA,37.5,70.4,50.8,70.4,88.2,80.4,40.5,62.4,10,0,0,0,61,71,93,19.2,2.2,3.71,3.99,-0.59,21.5,2.1,0.5,0,0.4,NA,17,42.4,32.2,25.4,20.3,52,27.7,3.81,23.1,13.1,592791
"13",11423,"13","2022","Jose Quintana","PIT",33,1,2,2.32,10,10,0,0,0,0,50.1,210,44,18,13,2,18,1,1,1,0,41,68,48,34,3,330,516,846,15,4,0,0,7.33,3.22,2.28,7.87,0.36,0.23,1.23,0.284,74.8,3.17,1.42,22.7,45.3,32,6.3,4.2,5.9,0,9.9,50.1,NA,NA,9.9,1.1,8.5,3.73,4.01,0.51,-3.42,3.94,4.93,0.52,1.06,0.98,0.88,1.6,10,0.72,-0.23,49.6,90.9,9.2,78.7,NA,NA,16,78.5,25.2,86.2,NA,NA,NA,NA,0.5,NA,4,0.2,NA,3.6,-4.1,NA,NA,0.96,0.24,NA,2.69,-1.92,NA,NA,34.2,68.3,46,66.7,85.5,76.3,34.7,59,10.9,0,0,0,57,80,100,19.5,8.6,4.27,2.68,-0.84,22.8,1.4,0.1,0.2,0.3,NA,11,39.3,39.3,21.3,19.3,50.7,30,4.54,29,8.5,500779
"14",19665,"14","2022","Kyle Wright","ATL",26,5,3,2.41,10,10,0,0,0,0,59.2,240,41,18,16,3,23,0,4,2,0,66,77,43,26,3,317,595,912,21,4,0,0,9.96,3.47,2.87,6.18,0.45,0.192,1.07,0.264,78.4,2.95,1.79,17.8,52.7,29.5,7,7,5.2,0,13.1,59.2,NA,NA,13.1,1.4,11.4,3.08,3.32,1.39,-3.37,4.76,12.17,1.27,1.02,0.97,0.88,1.54,10,1.33,0.03,45.7,95.1,6.7,89.7,NA,NA,31,84.2,16.6,88,NA,NA,NA,NA,NA,NA,1.2,0.7,NA,4.5,4.2,NA,NA,0.29,1.2,NA,1.6,2.81,NA,NA,31.3,64.8,46.1,58.8,83.1,73.8,44,65.8,12.1,0,0,0,57,75,84,27.5,9.6,3.44,3.17,-0.53,22.1,2.1,0.3,0.4,0.7,NA,17.9,39,45.9,15.1,15.1,58.9,26,3.71,38.3,11.4,657140
"15",18000,"15","2022","Triston McKenzie","CLE",24,3,3,2.44,8,8,0,0,0,0,48,181,29,13,13,6,11,0,3,2,0,44,38,61,24,7,243,472,715,30,2,0,0,8.25,2.06,4,5.44,1.13,0.174,0.83,0.197,86.7,3.82,0.62,19.5,30.9,49.6,11.5,9.8,5.3,0,6.9,48,NA,NA,6.9,0.7,5.8,3.88,4.01,0.53,-1.9,2.43,7.74,0.84,0.69,0.76,0.87,0.53,8,0.53,0.24,60.6,92.4,17.6,87.8,NA,NA,21.8,79.4,NA,NA,NA,NA,NA,NA,NA,NA,5.1,0.4,NA,1.9,NA,NA,NA,1.19,0.29,NA,1.21,NA,NA,NA,31.9,72.8,51.5,57.1,85.9,76.6,47.8,61.3,12,0,0,0,64,97,102,24.3,6.1,3.73,5.63,-1.38,21.3,1.7,0.9,0.1,1,NA,18.2,35.8,39.8,24.4,13.8,46.3,39.8,3.67,33.7,5.8,663474
"16",19361,"16","2022","Corbin Burnes","MIL",27,3,3,2.5,11,11,0,0,0,0,68.1,268,50,20,19,9,13,0,4,3,0,84,74,62,31,3,386,695,1081,26,3,0,0,11.06,1.71,6.46,6.59,1.19,0.199,0.92,0.259,86.4,3.15,1.19,18.6,44.3,37.1,4.8,14.5,4.1,0,13.7,68.1,NA,NA,13.7,1.5,11.9,3.25,2.73,1.32,-3.33,4.66,12.37,1.36,0.86,0.96,0.88,0.92,11,0.87,0.68,7.8,96,9.2,88.1,55.3,94.6,20.8,82.1,6.9,90,NA,NA,NA,NA,NA,NA,-3.6,0.8,8.1,6.1,-2.3,NA,NA,-4.29,0.84,1.36,2.73,-3.03,NA,NA,38,65.1,47.4,50,81.6,65,34.7,59,16.6,0,0,0,60,79,69,31.3,4.9,2.64,3.42,-0.65,25.6,2.5,0.4,0.6,1,NA,26.5,43.7,37.1,19.2,16.8,49.7,33.5,2.68,39.6,11.9,669203
"17",14107,"17","2022","Kevin Gausman","TOR",31,5,3,2.51,10,10,0,0,0,0,61,244,59,19,17,2,6,0,0,0,1,70,75,57,35,6,257,670,927,36,8,1,0,10.33,0.89,11.67,8.7,0.3,0.248,1.07,0.343,74,1.57,1.32,21,44.9,34.1,10.5,3.5,10.7,0,22.6,61,NA,NA,22.6,2.7,21.8,2.05,2.48,0.48,-3.67,4.15,9.91,1.05,0.9,0.91,0.88,1.09,10,0.96,-0.43,49.3,94.5,11.4,83.4,NA,NA,NA,NA,1,84.6,38.3,84.8,NA,NA,NA,NA,3,0.4,NA,NA,-0.5,7.3,NA,0.67,0.37,NA,NA,-5.77,2.07,NA,48.4,71.9,58.6,57.9,82.7,71.1,43.4,70.1,16.9,0,0,0,64,38,61,28.7,2.5,2.64,5.31,0.93,24.5,1.9,-0.9,0.1,-0.8,NA,26.2,38.1,37.5,24.4,18.5,48.2,33.3,2.71,32,21.8,592332
"18",17295,"18","2022","Framber Valdez","HOU",28,5,2,2.57,10,10,1,0,0,0,63,256,49,19,18,2,22,0,3,2,1,50,117,21,40,3,331,623,954,27,6,3,1,7.14,3.14,2.27,7,0.29,0.212,1.13,0.263,77.2,3.16,5.57,22.5,65.7,11.8,14.3,9.5,5.1,33.3,12.6,63,NA,NA,12.6,1.4,11,3.81,3.23,1.24,-3.57,4.81,11.22,1.21,1.06,0.93,0.84,1.39,9,0.84,0.33,54.9,94.1,NA,NA,6.3,83.9,27.3,79.3,11.5,89.3,NA,NA,NA,NA,NA,NA,2,NA,1.4,4.8,2.7,NA,NA,0.39,NA,2.33,1.86,2.46,NA,NA,32,67.3,48.5,57.4,92.4,80.1,46.9,60.9,9.6,0,0,0,69,80,81,19.5,8.6,3.37,3.86,-0.59,23.2,2,0.3,0.3,0.6,NA,10.9,42,34.8,23.2,17.7,56.4,26,4.55,28.9,11,664285
"19",13743,"19","2022","Max Fried","ATL",28,5,2,2.74,11,11,0,0,0,0,69,276,58,22,21,5,12,2,2,5,0,61,104,50,44,6,343,682,1025,32,4,3,1,7.96,1.57,5.08,7.57,0.65,0.221,1.01,0.27,76.9,2.93,2.08,22.2,52.5,25.3,12,10,3.8,33.3,15.6,69,NA,NA,15.6,1.7,13.7,3.56,3.02,1.59,-3.98,5.58,15.16,1.48,1.08,0.99,0.87,1.49,11,1.4,0.08,44.4,94.3,21.2,87.4,NA,NA,22.1,74.7,12.3,87,NA,NA,NA,NA,0.5,NA,1.1,4.6,NA,2.1,1.6,NA,NA,0.24,2.13,NA,0.94,1.29,NA,NA,39.1,69.3,50.5,64.7,85.9,75.7,37.9,60.9,12.3,0,0,0,65,75,77,22.1,4.3,3.25,4.17,-0.19,24.3,2.3,0.3,0.3,0.6,NA,17.8,39.3,37.3,23.4,19.4,51.2,29.4,3.73,28.3,13.7,608331
"20",2233,"20","2022","Adam Wainwright","STL",40,5,4,2.75,10,10,0,0,0,0,59,239,50,19,18,5,20,0,0,2,0,48,84,57,30,2,331,620,951,42,5,0,0,7.32,3.05,2.4,7.63,0.76,0.228,1.19,0.271,81,3.64,1.47,17.5,49.1,33.3,3.5,8.8,6,0,7.1,59,NA,NA,7.1,0.7,5.9,3.55,3.92,0.63,-2.75,3.38,7.31,0.82,0.78,0.72,0.84,0.48,10,0.7,0.11,38.2,88.5,NA,NA,22.4,85,29.7,72.7,9.8,82.5,NA,NA,NA,NA,NA,NA,2.4,NA,-0.9,2.8,0.1,NA,NA,0.66,NA,-0.43,0.99,0.12,NA,NA,27.8,64.1,42.6,71.3,95.2,85.9,40.7,64.4,6,0,0,0,69,94,98,20.1,8.4,4.15,6.41,-0.89,22.8,1.7,0.3,0.7,1,NA,11.7,43.9,33.9,22.2,14,61.4,24.6,4.45,30.5,5.9,425794
"21",13125,"21","2022","Gerrit Cole","NYY",31,5,1,2.78,11,11,0,0,0,0,64.2,257,47,20,20,6,15,0,1,2,1,81,72,55,33,7,343,686,1029,48,7,0,0,11.27,2.09,5.4,6.54,0.84,0.195,0.96,0.266,78.8,2.59,1.31,20.6,45,34.4,12.7,10.9,9.7,0,16.9,64.2,NA,NA,16.9,1.9,15.2,2.79,2.6,0.59,-3.5,4.09,8.5,0.93,0.89,0.85,0.88,1.26,11,1.06,-0.4,49,97.7,20.9,88.1,14,92.2,7.6,82.8,8.6,89.6,NA,NA,NA,NA,NA,NA,4.2,3.5,5.5,-1.7,-0.4,NA,NA,0.82,1.65,3.8,-2.21,-0.42,NA,NA,37.1,68.3,49.8,53.3,81.1,68.8,40.5,60.3,15.5,0,0,0,74,63,65,31.5,5.8,2.71,6.68,0.19,22,1.8,0.2,-0.3,-0.1,NA,25.7,41.3,33.1,25.6,16.9,58.8,24.4,2.78,39.7,15.2,543037
"22",14765,"22","2022","Julio Urias","LAD",25,3,5,2.89,10,10,0,0,0,0,53,213,47,23,17,9,12,0,1,0,0,42,58,70,26,11,239,519,758,13,4,4,2,7.13,2.04,3.5,7.98,1.53,0.235,1.11,0.255,78.1,4.51,0.83,16.9,37.7,45.5,15.7,12.9,6.9,50,5,53,NA,NA,5,0.5,4.1,4.14,4.19,0.47,-3.01,3.48,1.33,0.23,0.84,0.86,0.88,0.84,10,0.19,0.37,43.8,92.7,NA,NA,NA,NA,36.9,80.9,19.3,85.8,NA,NA,NA,NA,NA,NA,3.3,NA,NA,-0.4,-2.9,NA,NA,1,NA,NA,-0.15,-2,NA,NA,36.6,65.7,49.9,66,88.2,79.4,45.8,67.6,10.3,0,0,0,72,112,105,19.7,5.6,4.12,2.21,-1.62,23.6,1,0.4,0,0.5,NA,14.1,38.6,41.1,20.3,23.4,50.6,25.9,4.17,29.6,4.1,628711
"23",9803,"23","2022","Miles Mikolas","STL",33,4,3,3.02,11,11,0,0,0,0,65.2,270,60,23,22,6,15,0,3,1,0,51,86,69,45,7,339,728,1067,36,5,1,0,6.99,2.06,3.4,8.22,0.82,0.238,1.14,0.277,79,3.61,1.25,22.5,43,34.5,10.1,8.7,5.8,0,9.8,65.2,NA,NA,9.8,1,8.3,3.96,3.92,0.59,-3.84,4.43,7.64,0.85,0.94,0.87,0.85,1.43,11,0.65,-0.03,45.7,92.8,29.2,87.6,NA,NA,18.8,75.5,6.2,83.5,NA,NA,NA,NA,NA,NA,2.2,4,NA,-0.8,-1.1,NA,NA,0.45,1.3,NA,-0.38,-1.65,NA,NA,34.2,70.3,50.6,72.9,89.4,83.3,45.5,69.3,8.4,0,0,0,76,93,98,18.9,5.6,4.05,4.93,-0.59,21.7,1.8,0.2,0.5,0.7,NA,13.3,43.3,32.3,24.4,20.9,53.7,25.4,4.26,26.7,8.3,571945
"24",16511,"24","2022","Jordan Montgomery","NYY",29,1,1,3.04,10,10,0,0,0,0,53.1,213,45,18,18,6,9,0,4,3,0,41,72,52,32,5,258,501,759,23,2,3,0,6.92,1.52,4.56,7.59,1.01,0.225,1.01,0.255,80.6,3.8,1.38,20.5,46.2,33.3,9.6,11.5,2.8,0,7.1,53.1,NA,NA,7.1,0.8,6,4.15,3.73,0.44,-3.16,3.6,6.33,0.68,0.94,0.92,0.87,1.36,10,0.75,-0.28,46.9,92.4,NA,NA,3.8,88.4,21.5,79.7,27.8,81.7,NA,NA,NA,NA,NA,NA,2.8,NA,1.5,1.2,-1,NA,NA,0.79,NA,5.15,0.72,-0.46,NA,NA,35.9,70,49.9,58.8,84.5,73.6,41.2,64.8,13.2,0,0,0,80,95,94,19.2,4.2,3.8,3.88,-0.77,22.7,1.3,0.4,0.2,0.6,NA,15,42.8,32.7,24.5,17.6,60.4,22,4.06,26.3,6,656756
"25",19427,"25","2022","Shane Bieber","CLE",27,3,3,3.12,10,10,0,0,0,0,60.2,247,54,23,21,4,16,0,1,1,0,62,70,58,38,4,324,596,920,34,4,2,0,9.2,2.37,3.88,8.01,0.59,0.235,1.15,0.305,73.4,2.8,1.21,22.9,42.2,34.9,6.9,6.9,5.7,0,13.7,60.2,NA,NA,13.7,1.5,12.1,3.36,3.31,0.78,-3.63,4.4,6.37,0.67,0.94,0.85,0.87,0.87,10,0.63,0.19,37.9,90.8,40.7,85.2,NA,NA,18.6,81.9,2.8,86.2,NA,NA,NA,NA,NA,NA,-2.6,4.1,NA,3.3,0.8,NA,NA,-0.75,1.1,NA,1.95,3.25,NA,NA,33.5,70.1,48.2,47.6,88.4,71.3,40,62.3,13.8,0,0,0,82,71,83,25.1,6.5,3.46,5.04,0.31,19.8,1.3,-0.3,0,-0.3,NA,18.6,39.9,33.3,26.8,16.1,54.8,29.2,3.62,33.2,12.1,669456
"26",14975,"26","2022","Chad Kuhl","COL",29,4,2,3.17,10,10,0,0,0,0,54,225,48,20,19,5,20,0,0,3,0,41,65,61,37,5,322,548,870,21,4,1,0,6.83,3.33,2.05,8,0.83,0.234,1.26,0.27,78.7,3.94,1.07,22.7,39.9,37.4,8.2,8.2,6.2,0,8.7,54,NA,NA,8.7,0.9,7.3,5.12,4.35,0.87,-3.85,4.71,7.72,0.71,1.07,1.01,0.88,1.5,10,0.53,0.28,44.4,92.8,37.7,86.5,NA,NA,10.8,79.1,7.1,88.8,NA,NA,NA,NA,NA,NA,-4.3,6.3,NA,-0.8,-0.6,NA,NA,-1.12,1.92,NA,-0.88,-1.02,NA,NA,31.6,67.6,46.8,61,84.7,75.4,42.2,58.2,11.5,0,0,0,67,94,109,18.2,8.9,4.58,3.5,-0.78,22.9,1.8,0.2,0.6,0.9,NA,9.3,47,26.2,26.8,14.6,54.3,31.1,4.74,29.3,7.3,641771
"27",14309,"27","2022","Frankie Montas","OAK",29,2,5,3.2,11,11,0,0,0,0,64.2,254,49,24,23,7,15,1,1,0,0,71,80,53,32,10,326,657,983,19,3,2,1,9.88,2.09,4.73,6.82,0.97,0.206,0.99,0.263,74.3,3.1,1.51,19.4,48.5,32.1,18.9,13.2,3.8,50,13.3,64.2,NA,NA,13.3,1.5,11.7,3.07,2.87,0.67,-4.49,5.17,6.02,0.71,1.1,1.01,0.87,1.38,11,0.56,0.05,48.7,95.8,23.2,87.4,NA,NA,NA,NA,NA,NA,28.1,86.3,NA,NA,0.4,NA,2,3.2,NA,NA,NA,3.9,NA,0.42,1.42,NA,NA,NA,1.42,NA,38.4,76.2,53.1,61.9,84.5,74.5,38.9,64.2,13.5,0,0,0,88,80,72,28,5.9,3.01,2.64,0.1,24.4,1.3,0.3,-0.5,-0.2,NA,22,38.3,37.7,24,16.8,54.5,28.7,3.21,36.6,11.7,593423
