"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"680","FC",2022-04-13,92.1,-1.91,5.76,"Cole, Gerrit",543807,543037,"field_out","hit_into_play",NA,NA,NA,NA,9,"George Springer grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","X",1,"ground_ball",1,0,2022,0.15,0.67,0.64,1.75,NA,NA,NA,1,3,"Top",130.92,181.08,NA,NA,543309,NA,NA,6.14176007783602,-133.947837195856,-5.78891243034186,0.495307544899037,28.441823602401,-23.1015095350163,3.49,1.6,3,63.6,-33,92.1,2526,6.3,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,54.25,0.06,0.064,0,1,0,0,2,18,2,"Cutter",0,1,1,0,1,0,1,0,"Infield shift","Standard",183,0.016,-0.181
"681","FF",2022-04-13,97.2,-1.67,5.81,"Cole, Gerrit",543807,543037,"","ball",NA,NA,NA,NA,14,"George Springer grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","B",NA,"",0,0,2022,-0.55,1.33,1.49,2.18,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,543309,NA,NA,9.69210996338297,-141.138703225753,-7.20835532538582,-9.63860962338992,32.4899859055337,-12.8850888337312,3.5,1.6,NA,NA,NA,96.7,2426,6.2,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,54.34,NA,NA,NA,NA,NA,NA,NA,18,1,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard",207,0,0.023
"682","SL",2022-04-13,87.4,-1.83,5.83,"Cole, Gerrit",543807,543037,"field_out","hit_into_play",NA,NA,NA,NA,8,"George Springer grounds out softly, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","X",1,"ground_ball",2,2,2022,0.48,-0.04,0.2,1.7,NA,NA,NA,0,1,"Top",122.86,177.71,NA,NA,543309,NA,NA,3.90865369750192,-127.19069509896,-3.703171994312,4.34650708122648,27.4665571279459,-31.9974953875125,3.49,1.6,1,59,-52,87.1,2564,6.2,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,54.31,0.134,0.121,0,1,0,0,1,1,5,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",71,0.022,-0.199
"683","FF",2022-04-13,99.1,-1.68,5.78,"Cole, Gerrit",543807,543037,"","ball",NA,NA,NA,NA,14,"George Springer grounds out softly, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","B",NA,"",1,2,2022,-0.65,1.53,1.09,1.22,NA,NA,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,9.09689306007018,-143.591582184275,-10.5396243623501,-11.2244504064161,36.3551018287774,-8.54270141379739,3.53,1.61,NA,NA,NA,98.8,2512,6.6,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,53.93,NA,NA,NA,NA,NA,NA,NA,1,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",211,0,0.039
"684","FF",2022-04-13,99.4,-1.65,5.8,"Cole, Gerrit",543807,543037,"","ball",NA,NA,NA,NA,14,"George Springer grounds out softly, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","B",NA,"",0,2,2022,-0.96,1.55,1.5,1.04,NA,NA,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,10.9072125477963,-143.924349957659,-11.2813543051826,-15.9241417385126,35.5305475677296,-7.9976385143343,3.34,1.58,NA,NA,NA,99.5,2494,6.8,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,53.72,NA,NA,NA,NA,NA,NA,NA,1,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",212,0,0.018
"685","SL",2022-04-13,85.9,-1.85,5.89,"Cole, Gerrit",543807,543037,"","swinging_strike",NA,NA,NA,NA,9,"George Springer grounds out softly, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","S",NA,"",0,1,2022,0.43,-0.36,0.55,1.71,NA,NA,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,4.79545259678379,-124.961787702938,-2.87578768404385,3.50446718878674,26.1310073165304,-35.5750613443189,3.49,1.6,NA,NA,NA,85.5,2543,6.1,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,54.38,NA,NA,NA,NA,NA,NA,NA,1,2,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",71,0,-0.046
"686","SL",2022-04-13,87.7,-1.95,5.84,"Cole, Gerrit",543807,543037,"","swinging_strike",NA,NA,NA,NA,14,"George Springer grounds out softly, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","R","R","NYY","TOR","S",NA,"",0,0,2022,0.41,-0.29,0.39,0.64,NA,NA,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,4.81141493684942,-127.634276962136,-5.88651621244149,3.48002695733629,26.1945088286245,-34.3061690928967,3.49,1.6,NA,NA,NA,88.1,2494,6.5,661313,543037,543309,519203,650402,518934,643396,608336,543305,592450,53.99,NA,NA,NA,NA,NA,NA,NA,1,1,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",68,0,-0.034
"687","FF",2022-04-08,98.5,-1.91,5.79,"Cole, Gerrit",657077,543037,"field_out","hit_into_play",NA,NA,NA,NA,13,"Alex Verdugo grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","L","R","NYY","BOS","X",1,"ground_ball",2,1,2022,-0.92,1.52,-0.91,1.99,NA,502110,NA,0,1,"Top",128.54,180.91,NA,NA,543309,NA,NA,4.83537315319052,-143.141915920483,-8.33401926585114,-13.712870074083,35.9859584656228,-9.57510638854303,3.37,1.53,2,75.3,-40,98.2,2536,6.4,661333,543037,543309,519203,518934,518626,643396,608336,543305,592450,54.11,0.043,0.039,0,1,0,0,2,5,4,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",215,0.025,-0.305
"688","CH",2022-04-08,91.1,-1.92,5.65,"Cole, Gerrit",657077,543037,"","ball",NA,NA,NA,NA,13,"Alex Verdugo grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","L","R","NYY","BOS","B",NA,"",1,1,2022,-1.24,0.81,-0.34,0.88,NA,502110,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,6.62416882257601,-132.249727679657,-7.76368737939021,-15.9698293724312,30.4159861584943,-21.1695675234642,3.44,1.46,NA,NA,NA,90.9,1704,6.5,661333,543037,543309,519203,518934,518626,643396,608336,543305,592450,54.02,NA,NA,NA,NA,NA,NA,NA,5,3,"Changeup",0,3,3,0,3,0,3,0,"Standard","Standard",232,0,0.02
"689","FF",2022-04-08,98.5,-1.84,5.81,"Cole, Gerrit",657077,543037,"","called_strike",NA,NA,NA,NA,8,"Alex Verdugo grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.","R","L","R","NYY","BOS","S",NA,"",1,0,2022,-0.7,1.74,-0.13,1.93,NA,502110,NA,0,1,"Top",NA,NA,NA,NA,543309,NA,NA,6.29365466209567,-142.97269388382,-9.0961333508335,-11.107934015188,35.1835835826716,-6.37863062022783,3.49,1.58,NA,NA,NA,98.6,2581,6.6,661333,543037,543309,519203,518934,518626,643396,608336,543305,592450,53.86,NA,NA,NA,NA,NA,NA,NA,5,2,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",208,0,-0.056
