,all_star_status,team_id,team_full_name,linkBegin,link,fullLink,fullVenueLink,season,team_code,file_code,team_abbreviation,team_name,lat,long,location_name,venue_name,city,state,region,country,first_year_of_play,short_name,franchise_name,club_name,active,spring_league_id,spring_league_name,spring_league_link,spring_league_abbreviation,venue_id,,venue_link,spring_venue_id,spring_venue_link,league_id,league_name,league_link,division_id,division_name,division_link,sport_id,sport_link,sport_name,parent_org_name,parent_org_id,parent_abbr
155,N,406,ACL Brewers Gold,https://statsapi.mlb.com,/api/v1/teams/406,https://statsapi.mlb.com/api/v1/teams/406,https://statsapi.mlb.com/api/v1/venues/2518,2022,brg,t406,BRWG,ACL Brewers Gold,33.4922,-112.1746,Phoenix,American Family Fields of Phoenix,Phoenix,AZ,arizona,USA,1988,ACL Brewers Gold,ACL Brewers Gold,ACL Brewers Gold,TRUE,NA,,,,2518,,/api/v1/venues/2518,NA,,121,Arizona Complex League,/api/v1/league/121,570,Arizona Complex League Central,/api/v1/divisions/570,16,/api/v1/sports/16,Rookie,Milwaukee Brewers,158,MIL
156,N,407,ACL Cubs,https://statsapi.mlb.com,/api/v1/teams/407,https://statsapi.mlb.com/api/v1/teams/407,https://statsapi.mlb.com/api/v1/venues/4629,2022,cub,t407,CUB,ACL Cubs,33.4311,-111.884,Mesa,Sloan Park,Mesa,AZ,arizona,USA,1997,ACL Cubs,ACL Cubs,ACL Cubs,TRUE,NA,,,,4629,,/api/v1/venues/4629,NA,,121,Arizona Complex League,/api/v1/league/121,570,Arizona Complex League Central,/api/v1/divisions/570,16,/api/v1/sports/16,Rookie,Chicago Cubs,112,CHC
157,N,408,ACL Giants Black,https://statsapi.mlb.com,/api/v1/teams/408,https://statsapi.mlb.com/api/v1/teams/408,https://statsapi.mlb.com/api/v1/venues/2824,2022,gib,t408,GNTB,ACL Giants Black,33.4681,-111.9458,Phoenix,Papago Sports Complex,Phoenix,AZ,arizona,USA,1991,ACL Giants Black,ACL Giants Black,ACL Giants Black,TRUE,NA,,,,2824,,/api/v1/venues/2824,NA,,121,Arizona Complex League,/api/v1/league/121,560,Arizona Complex League East,/api/v1/divisions/560,16,/api/v1/sports/16,Rookie,San Francisco Giants,137,SFG
158,N,409,ACL Mariners,https://statsapi.mlb.com,/api/v1/teams/409,https://statsapi.mlb.com/api/v1/teams/409,https://statsapi.mlb.com/api/v1/venues/2530,2022,mrn,t409,MRN,ACL Mariners,33.6321,-112.2355,Peoria,Peoria Stadium,Peoria,AZ,arizona,USA,1989,ACL Mariners,ACL Mariners,ACL Mariners,TRUE,NA,,,,2530,,/api/v1/venues/2530,NA,,121,Arizona Complex League,/api/v1/league/121,561,Arizona Complex League West,/api/v1/divisions/561,16,/api/v1/sports/16,Rookie,Seattle Mariners,136,SEA
159,N,410,ACL Padres,https://statsapi.mlb.com,/api/v1/teams/410,https://statsapi.mlb.com/api/v1/teams/410,https://statsapi.mlb.com/api/v1/venues/2530,2022,sdo,t410,PAD,ACL Padres,33.6321,-112.2355,Peoria,Peoria Stadium,Peoria,AZ,arizona,USA,1988,ACL Padres,ACL Padres,ACL Padres,TRUE,NA,,,,2530,,/api/v1/venues/2530,NA,,121,Arizona Complex League,/api/v1/league/121,561,Arizona Complex League West,/api/v1/divisions/561,16,/api/v1/sports/16,Rookie,San Diego Padres,135,SDP
160,N,411,ACL Rangers,https://statsapi.mlb.com,/api/v1/teams/411,https://statsapi.mlb.com/api/v1/teams/411,https://statsapi.mlb.com/api/v1/venues/2603,2022,rng,t411,RAN,ACL Rangers,33.6279,-112.3804,Surprise,Surprise Stadium,Surprise,AZ,arizona,USA,2003,ACL Rangers,ACL Rangers,ACL Rangers,TRUE,NA,,,,2603,,/api/v1/venues/2603,NA,,121,Arizona Complex League,/api/v1/league/121,561,Arizona Complex League West,/api/v1/divisions/561,16,/api/v1/sports/16,Rookie,Texas Rangers,140,TEX
161,N,412,ACL Royals,https://statsapi.mlb.com,/api/v1/teams/412,https://statsapi.mlb.com/api/v1/teams/412,https://statsapi.mlb.com/api/v1/venues/2603,2022,roy,t412,ROY,ACL Royals,33.6279,-112.3804,Surprise,Surprise Stadium,Surprise,AZ,arizona,USA,2003,ACL Royals,ACL Royals,ACL Royals,TRUE,NA,,,,2603,,/api/v1/venues/2603,NA,,121,Arizona Complex League,/api/v1/league/121,561,Arizona Complex League West,/api/v1/divisions/561,16,/api/v1/sports/16,Rookie,Kansas City Royals,118,KCR
162,N,5426,ACL Athletics,https://statsapi.mlb.com,/api/v1/teams/5426,https://statsapi.mlb.com/api/v1/teams/5426,https://statsapi.mlb.com/api/v1/venues/2770,2022,ago,t5426,ATH,ACL Athletics,33.4283,-111.8304,Mesa,Lew Wolff Training Complex,Mesa,AZ,arizona,USA,2019,ACL Athletics,ACL Athletics,ACL Athletics,TRUE,NA,,,,2770,,/api/v1/venues/2770,NA,,121,Arizona Complex League,/api/v1/league/121,570,Arizona Complex League Central,/api/v1/divisions/570,16,/api/v1/sports/16,Rookie,Oakland Athletics,133,OAK
163,N,5427,ACL Dodgers,https://statsapi.mlb.com,/api/v1/teams/5427,https://statsapi.mlb.com/api/v1/teams/5427,https://statsapi.mlb.com/api/v1/venues/3809,2022,doo,t5427,DOD,ACL Dodgers,33.5141,-112.298,Glendale,Camelback Ranch,Glendale,AZ,arizona,USA,2019,ACL Dodgers,ACL Dodgers,ACL Dodgers,TRUE,NA,,,,3809,,/api/v1/venues/3809,NA,,121,Arizona Complex League,/api/v1/league/121,561,Arizona Complex League West,/api/v1/divisions/561,16,/api/v1/sports/16,Rookie,Los Angeles Dodgers,119,LAD
166,N,5430,ACL Brewers Blue,https://statsapi.mlb.com,/api/v1/teams/5430,https://statsapi.mlb.com/api/v1/teams/5430,https://statsapi.mlb.com/api/v1/venues/2518,2022,brb,t5430,BRWB,ACL Brewers Blue,33.4922,-112.1746,Phoenix,American Family Fields of Phoenix,Phoenix,AZ,arizona,USA,2019,ACL Brewers Blue,ACL Brewers Blue,ACL Brewers Blue,TRUE,NA,,,,2518,,/api/v1/venues/2518,NA,,121,Arizona Complex League,/api/v1/league/121,570,Arizona Complex League Central,/api/v1/divisions/570,16,/api/v1/sports/16,Rookie,Milwaukee Brewers,158,MIL
