,all_star_status,team_id,team_full_name,linkBegin,link,fullLink,fullVenueLink,season,team_code,file_code,team_abbreviation,team_name,lat,long,location_name,venue_name,city,state,region,country,first_year_of_play,short_name,franchise_name,club_name,active,spring_league_id,spring_league_name,spring_league_link,spring_league_abbreviation,venue_id,,venue_link,spring_venue_id,spring_venue_link,league_id,league_name,league_link,division_id,division_name,division_link,sport_id,sport_link,sport_name,parent_org_name,parent_org_id,parent_abbr
129,N,526,Rancho Cucamonga Quakes,https://statsapi.mlb.com,/api/v1/teams/526,https://statsapi.mlb.com/api/v1/teams/526,https://statsapi.mlb.com/api/v1/venues/2854,2022,rcq,t526,RC,Quakes,34.1025,-117.5496,Rancho Cucamonga,LoanMart Field,Rancho Cucamonga,CA,california,USA,1966,Rancho Cuca.,Rancho Cucamonga,Quakes,TRUE,NA,,,,2854,,/api/v1/venues/2854,NA,,110,California League,/api/v1/league/110,209,California League South,/api/v1/divisions/209,14,/api/v1/sports/14,Single-A,Los Angeles Dodgers,119,LAD
130,N,401,Inland Empire 66ers,https://statsapi.mlb.com,/api/v1/teams/401,https://statsapi.mlb.com/api/v1/teams/401,https://statsapi.mlb.com/api/v1/venues/2728,2022,inl,t401,IE,66ers,34.0973,-117.2984,San Bernardino,San Manuel Stadium,San Bernardino,CA,california,USA,1993,Inland Empire,Inland Empire,66ers,TRUE,NA,,,,2728,,/api/v1/venues/2728,NA,,110,California League,/api/v1/league/110,209,California League South,/api/v1/divisions/209,14,/api/v1/sports/14,Single-A,Los Angeles Angels,108,LAA
132,N,476,San Jose Giants,https://statsapi.mlb.com,/api/v1/teams/476,https://statsapi.mlb.com/api/v1/teams/476,https://statsapi.mlb.com/api/v1/venues/2815,2022,sjg,t476,SJ,Giants,37.3204,-121.8646,San Jose,Excite Ballpark,San Jose,CA,california,USA,1947,San Jose,San Jose,Giants,TRUE,NA,,,,2815,,/api/v1/venues/2815,NA,,110,California League,/api/v1/league/110,208,California League North,/api/v1/divisions/208,14,/api/v1/sports/14,Single-A,San Francisco Giants,137,SFG
140,N,103,Lake Elsinore Storm,https://statsapi.mlb.com,/api/v1/teams/103,https://statsapi.mlb.com/api/v1/teams/103,https://statsapi.mlb.com/api/v1/venues/2516,2022,les,t103,LE,Storm,33.6539,-117.3055,Lake Elsinore,The Diamond,Lake Elsinore,CA,california,USA,1980,Lake Elsinore,Lake Elsinore,Storm,TRUE,NA,,,,2516,,/api/v1/venues/2516,NA,,110,California League,/api/v1/league/110,209,California League South,/api/v1/divisions/209,14,/api/v1/sports/14,Single-A,San Diego Padres,135,SDP
121,N,3712,Fayetteville Woodpeckers,https://statsapi.mlb.com,/api/v1/teams/3712,https://statsapi.mlb.com/api/v1/teams/3712,https://statsapi.mlb.com/api/v1/venues/5400,2022,fay,t3712,FAY,Woodpeckers,35.0551,-78.8856,Fayetteville,SEGRA Stadium,Fayetteville,NC,north carolina,USA,1987,Fayetteville,Fayetteville,Woodpeckers,TRUE,NA,,,,5400,,/api/v1/venues/5400,NA,,122,Carolina League,/api/v1/league/122,211,Carolina League South,/api/v1/divisions/211,14,/api/v1/sports/14,Single-A,Houston Astros,117,HOU
126,N,521,Myrtle Beach Pelicans,https://statsapi.mlb.com,/api/v1/teams/521,https://statsapi.mlb.com/api/v1/teams/521,https://statsapi.mlb.com/api/v1/venues/2747,2022,myr,t521,MB,Pelicans,33.7114,-78.8866,Myrtle Beach,TicketReturn.com Field,Myrtle Beach,SC,south carolina,USA,1999,Myrtle Beach,Myrtle Beach,Pelicans,TRUE,NA,,,,2747,,/api/v1/venues/2747,NA,,122,Carolina League,/api/v1/league/122,211,Carolina League South,/api/v1/divisions/211,14,/api/v1/sports/14,Single-A,Chicago Cubs,112,CHC
133,N,478,Augusta GreenJackets,https://statsapi.mlb.com,/api/v1/teams/478,https://statsapi.mlb.com/api/v1/teams/478,https://statsapi.mlb.com/api/v1/venues/5345,2022,aug,t478,AUG,GreenJackets,33.4853,-81.9769,North Augusta,SRP Park,North Augusta,SC,south carolina,USA,1946,Augusta,Augusta,GreenJackets,TRUE,NA,,,,5345,,/api/v1/venues/5345,NA,,122,Carolina League,/api/v1/league/122,211,Carolina League South,/api/v1/divisions/211,14,/api/v1/sports/14,Single-A,Atlanta Braves,144,ATL
134,N,414,Salem Red Sox,https://statsapi.mlb.com,/api/v1/teams/414,https://statsapi.mlb.com/api/v1/teams/414,https://statsapi.mlb.com/api/v1/venues/2840,2022,sal,t414,SAL,Red Sox,37.2857,-80.0392,Salem,Carillion Clinic Field,Salem,VA,virginia,USA,1957,Salem,Salem,Red Sox,TRUE,NA,,,,2840,,/api/v1/venues/2840,NA,,122,Carolina League,/api/v1/league/122,210,Carolina League North,/api/v1/divisions/210,14,/api/v1/sports/14,Single-A,Boston Red Sox,111,BOS
136,N,481,Lynchburg Hillcats,https://statsapi.mlb.com,/api/v1/teams/481,https://statsapi.mlb.com/api/v1/teams/481,https://statsapi.mlb.com/api/v1/venues/2803,2022,lyn,t481,LYN,Hillcats,37.3928,-79.1706,Lynchburg,Bank of the James Stadium,Lynchburg,VA,virginia,USA,1970,Lynchburg,Lynchburg,Hillcats,TRUE,NA,,,,2803,,/api/v1/venues/2803,NA,,122,Carolina League,/api/v1/league/122,210,Carolina League North,/api/v1/divisions/210,14,/api/v1/sports/14,Single-A,Cleveland Guardians,114,CLE
137,N,548,Delmarva Shorebirds,https://statsapi.mlb.com,/api/v1/teams/548,https://statsapi.mlb.com/api/v1/teams/548,https://statsapi.mlb.com/api/v1/venues/2729,2022,del,t548,DEL,Shorebirds,38.3701,-75.5325,Salisbury,Arthur W. Perdue Stadium,Salisbury,MD,maryland,USA,1996,Delmarva,Delmarva,Shorebirds,TRUE,NA,,,,2729,,/api/v1/venues/2729,NA,,122,Carolina League,/api/v1/league/122,210,Carolina League North,/api/v1/divisions/210,14,/api/v1/sports/14,Single-A,Baltimore Orioles,110,BAL
138,N,485,Down East Wood Ducks,https://statsapi.mlb.com,/api/v1/teams/485,https://statsapi.mlb.com/api/v1/teams/485,https://statsapi.mlb.com/api/v1/venues/2777,2022,dne,t485,DE,Wood Ducks,35.2695,-77.5782,Kinston,Grainger Stadium,Kinston,NC,north carolina,USA,1962,Down East,Down East,Wood Ducks,TRUE,NA,,,,2777,,/api/v1/venues/2777,NA,,122,Carolina League,/api/v1/league/122,210,Carolina League North,/api/v1/divisions/210,14,/api/v1/sports/14,Single-A,Texas Rangers,140,TEX
139,N,487,Kannapolis Cannon Ballers,https://statsapi.mlb.com,/api/v1/teams/487,https://statsapi.mlb.com/api/v1/teams/487,https://statsapi.mlb.com/api/v1/venues/2764,2022,kan,t487,KAN,Cannon Ballers,35.4979,-80.6316,Kannapolis,Atrium Health Ballpark,Kannapolis,NC,north carolina,USA,1995,Kannapolis,Kannapolis,Cannon Ballers,TRUE,NA,,,,2764,,/api/v1/venues/2764,NA,,122,Carolina League,/api/v1/league/122,211,Carolina League South,/api/v1/divisions/211,14,/api/v1/sports/14,Single-A,Chicago White Sox,145,CWS
142,N,233,Charleston RiverDogs,https://statsapi.mlb.com,/api/v1/teams/233,https://statsapi.mlb.com/api/v1/teams/233,https://statsapi.mlb.com/api/v1/venues/2540,2022,crd,t233,CSC,RiverDogs,32.7905,-79.9635,Charleston,"Joseph P. Riley, Jr. Ballpark",Charleston,SC,south carolina,USA,1973,Charleston,Charleston,RiverDogs,TRUE,NA,,,,2540,,/api/v1/venues/2540,NA,,122,Carolina League,/api/v1/league/122,211,Carolina League South,/api/v1/divisions/211,14,/api/v1/sports/14,Single-A,Tampa Bay Rays,139,TBR
143,N,436,Fredericksburg Nationals,https://statsapi.mlb.com,/api/v1/teams/436,https://statsapi.mlb.com/api/v1/teams/436,https://statsapi.mlb.com/api/v1/venues/5520,2022,fbg,t436,FBG,Nationals,38.3179,-77.5128,Fredericksburg,Virginia Credit Union Stadium,Fredericksburg,VA,virginia,USA,1978,Fredericksburg,Fredericksburg,Nationals,TRUE,NA,,,,5520,,/api/v1/venues/5520,NA,,122,Carolina League,/api/v1/league/122,210,Carolina League North,/api/v1/divisions/210,14,/api/v1/sports/14,Single-A,Washington Nationals,120,WAS
145,N,3705,Columbia Fireflies,https://statsapi.mlb.com,/api/v1/teams/3705,https://statsapi.mlb.com/api/v1/teams/3705,https://statsapi.mlb.com/api/v1/venues/4980,2022,col,t3705,COL,Fireflies,34.0185,-81.0338,Columbia,Segra Park,Columbia,SC,south carolina,USA,1977,Columbia,Columbia,Fireflies,TRUE,NA,,,,4980,,/api/v1/venues/4980,NA,,122,Carolina League,/api/v1/league/122,211,Carolina League South,/api/v1/divisions/211,14,/api/v1/sports/14,Single-A,Kansas City Royals,118,KCR
146,N,249,Carolina Mudcats,https://statsapi.mlb.com,/api/v1/teams/249,https://statsapi.mlb.com/api/v1/teams/249,https://statsapi.mlb.com/api/v1/venues/2625,2022,cmc,t249,CAR,Mudcats,35.8169,-78.2746,Zebulon,Five County Stadium,Zebulon,NC,north carolina,USA,1969,Carolina,Carolina,Mudcats,TRUE,NA,,,,2625,,/api/v1/venues/2625,NA,,122,Carolina League,/api/v1/league/122,210,Carolina League North,/api/v1/divisions/210,14,/api/v1/sports/14,Single-A,Milwaukee Brewers,158,MIL
151,N,5506,DSL Guardians Red,https://statsapi.mlb.com,/api/v1/teams/5506,https://statsapi.mlb.com/api/v1/teams/5506,https://statsapi.mlb.com/api/v1/venues/401,2022,dgr,t5506,DSL GUR,DSL Guardians Red,,,United States,TBD,United States,,,Dominican Republic,2020,DSL Guardians Red,DSL Guardians Red,DSL Guardians Red,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,247,Dominican Summer League North,/api/v1/divisions/247,16,/api/v1/sports/16,Rookie,Cleveland Guardians,114,CLE
152,N,5005,DSL Astros Orange,https://statsapi.mlb.com,/api/v1/teams/5005,https://statsapi.mlb.com/api/v1/teams/5005,https://statsapi.mlb.com/api/v1/venues/401,2022,dao,t5005,DSL ASTO,DSL Astros Orange,,,United States,TBD,United States,,,Dominican Republic,2014,DSL Astros Orange,DSL Astros Orange,DSL Astros Orange,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,247,Dominican Summer League North,/api/v1/divisions/247,16,/api/v1/sports/16,Rookie,Houston Astros,117,HOU
164,N,4404,DSL Pirates Gold,https://statsapi.mlb.com,/api/v1/teams/4404,https://statsapi.mlb.com/api/v1/teams/4404,https://statsapi.mlb.com/api/v1/venues/401,2022,dpt,t4404,DSL PIRG,DSL Pirates Gold,,,United States,TBD,United States,,,Dominican Republic,2012,DSL Pirates Gold,DSL Pirates Gold,DSL Pirates Gold,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,401,Dominican Summer League Northeast,/api/v1/divisions/401,16,/api/v1/sports/16,Rookie,Pittsburgh Pirates,134,PIT
165,N,2101,DSL Brewers2,https://statsapi.mlb.com,/api/v1/teams/2101,https://statsapi.mlb.com/api/v1/teams/2101,https://statsapi.mlb.com/api/v1/venues/401,2022,brc,t2101,DSL BRW2,DSL Brewers2,,,United States,TBD,United States,,,Dominican Republic,1990,DSL Brewers2,DSL Brewers2,DSL Brewers2,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,246,Dominican Summer League San Pedro,/api/v1/divisions/246,16,/api/v1/sports/16,Rookie,Milwaukee Brewers,158,MIL
167,N,3130,DSL Orioles Orange,https://statsapi.mlb.com,/api/v1/teams/3130,https://statsapi.mlb.com/api/v1/teams/3130,https://statsapi.mlb.com/api/v1/venues/401,2022,dba,t3130,DSL ORO,DSL Orioles Orange,,,United States,TBD,United States,,,Dominican Republic,2009,DSL Orioles Orange,DSL Orioles Orange,DSL Orioles Orange,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,250,Dominican Summer League Baseball City,/api/v1/divisions/250,16,/api/v1/sports/16,Rookie,Baltimore Orioles,110,BAL
168,N,2117,DSL Mets2,https://statsapi.mlb.com,/api/v1/teams/2117,https://statsapi.mlb.com/api/v1/teams/2117,https://statsapi.mlb.com/api/v1/venues/401,2022,met,t2117,DSL MET2,DSL Mets2,,,United States,TBD,United States,,,Dominican Republic,1998,DSL Mets2,DSL Mets2,DSL Mets2,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,401,Dominican Summer League Northeast,/api/v1/divisions/401,16,/api/v1/sports/16,Rookie,New York Mets,121,NYM
171,N,1611,DSL Rays,https://statsapi.mlb.com,/api/v1/teams/1611,https://statsapi.mlb.com/api/v1/teams/1611,https://statsapi.mlb.com/api/v1/venues/401,2022,ddr,t1611,DSL RAY,DSL Rays,,,United States,TBD,United States,,,Dominican Republic,1997,DSL Rays,DSL Rays,DSL Rays,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Tampa Bay Rays,139,TBR
174,N,2127,DSL Miami,https://statsapi.mlb.com,/api/v1/teams/2127,https://statsapi.mlb.com/api/v1/teams/2127,https://statsapi.mlb.com/api/v1/venues/401,2022,mrl,t2127,DSL MIA,DSL Miami,,,United States,TBD,United States,,,Dominican Republic,1992,DSL Miami,DSL Miami,DSL Miami,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Miami Marlins,146,MIA
175,N,2128,DSL Royals Stewart,https://statsapi.mlb.com,/api/v1/teams/2128,https://statsapi.mlb.com/api/v1/teams/2128,https://statsapi.mlb.com/api/v1/venues/401,2022,rco,t2128,DSL ROYS,DSL Royals Stewart,,,United States,TBD,United States,,,Dominican Republic,1992,DSL Royals Stewart,DSL Royals Stewart,DSL Royals Stewart,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,247,Dominican Summer League North,/api/v1/divisions/247,16,/api/v1/sports/16,Rookie,Kansas City Royals,118,KCR
179,N,2131,DSL Colorado,https://statsapi.mlb.com,/api/v1/teams/2131,https://statsapi.mlb.com/api/v1/teams/2131,https://statsapi.mlb.com/api/v1/venues/401,2022,dcr,t2131,DSL COL,DSL Colorado,,,United States,TBD,United States,,,Dominican Republic,1993,DSL Colorado,DSL Colorado,DSL Colorado,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,248,Dominican Summer League South,/api/v1/divisions/248,16,/api/v1/sports/16,Rookie,Colorado Rockies,115,COL
182,N,2132,DSL Tigers2,https://statsapi.mlb.com,/api/v1/teams/2132,https://statsapi.mlb.com/api/v1/teams/2132,https://statsapi.mlb.com/api/v1/venues/401,2022,tco,t2132,DSL TIG2,DSL Tigers2,,,United States,TBD,United States,,,Dominican Republic,1990,DSL Tigers2,DSL Tigers2,DSL Tigers2,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,246,Dominican Summer League San Pedro,/api/v1/divisions/246,16,/api/v1/sports/16,Rookie,Detroit Tigers,116,DET
185,N,2134,DSL Giants Black,https://statsapi.mlb.com,/api/v1/teams/2134,https://statsapi.mlb.com/api/v1/teams/2134,https://statsapi.mlb.com/api/v1/venues/401,2022,dgt,t2134,DSL GIB,DSL Giants Black,,,United States,TBD,United States,,,Dominican Republic,1989,DSL Giants Black,DSL Giants Black,DSL Giants Black,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,248,Dominican Summer League South,/api/v1/divisions/248,16,/api/v1/sports/16,Rookie,San Francisco Giants,137,SFG
189,N,600,DSL Angels,https://statsapi.mlb.com,/api/v1/teams/600,https://statsapi.mlb.com/api/v1/teams/600,https://statsapi.mlb.com/api/v1/venues/401,2022,dan,t600,DSL ANG,DSL Angels,,,United States,TBD,United States,,,Dominican Republic,1987,DSL Angels,DSL Angels,DSL Angels,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,248,Dominican Summer League South,/api/v1/divisions/248,16,/api/v1/sports/16,Rookie,Los Angeles Angels,108,LAA
190,N,601,DSL Astros Blue,https://statsapi.mlb.com,/api/v1/teams/601,https://statsapi.mlb.com/api/v1/teams/601,https://statsapi.mlb.com/api/v1/venues/401,2022,dab,t601,DSL ASTB,DSL Astros Blue,,,United States,TBD,United States,,,Dominican Republic,1987,DSL Astros Blue,DSL Astros Blue,DSL Astros Blue,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,247,Dominican Summer League North,/api/v1/divisions/247,16,/api/v1/sports/16,Rookie,Houston Astros,117,HOU
192,N,602,DSL Athletics,https://statsapi.mlb.com,/api/v1/teams/602,https://statsapi.mlb.com/api/v1/teams/602,https://statsapi.mlb.com/api/v1/venues/401,2022,dat,t602,DSL ATH,DSL Athletics,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Athletics,DSL Athletics,DSL Athletics,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Oakland Athletics,133,OAK
196,N,604,DSL Blue Jays,https://statsapi.mlb.com,/api/v1/teams/604,https://statsapi.mlb.com/api/v1/teams/604,https://statsapi.mlb.com/api/v1/venues/401,2022,dbl,t604,DSL BLJ,DSL Blue Jays,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Blue Jays,DSL Blue Jays,DSL Blue Jays,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,250,Dominican Summer League Baseball City,/api/v1/divisions/250,16,/api/v1/sports/16,Rookie,Toronto Blue Jays,141,TOR
197,N,5085,DSL Phillies White,https://statsapi.mlb.com,/api/v1/teams/5085,https://statsapi.mlb.com/api/v1/teams/5085,https://statsapi.mlb.com/api/v1/venues/401,2022,dpl,t5085,DSL PHW,DSL Phillies White,,,United States,TBD,United States,,,Dominican Republic,2016,DSL Phillies White,DSL Phillies White,DSL Phillies White,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,246,Dominican Summer League San Pedro,/api/v1/divisions/246,16,/api/v1/sports/16,Rookie,Philadelphia Phillies,143,PHI
198,N,605,DSL Braves,https://statsapi.mlb.com,/api/v1/teams/605,https://statsapi.mlb.com/api/v1/teams/605,https://statsapi.mlb.com/api/v1/venues/401,2022,dbr,t605,DSL BRA,DSL Braves,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Braves,DSL Braves,DSL Braves,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Atlanta Braves,144,ATL
199,N,5086,DSL Tampa Bay,https://statsapi.mlb.com,/api/v1/teams/5086,https://statsapi.mlb.com/api/v1/teams/5086,https://statsapi.mlb.com/api/v1/venues/401,2022,dra,t5086,DSL TB,DSL Tampa Bay,,,United States,TBD,United States,,,Dominican Republic,2016,DSL Tampa Bay,DSL Tampa Bay,DSL Tampa Bay,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Tampa Bay Rays,139,TBR
200,N,2270,DSL Cubs Red,https://statsapi.mlb.com,/api/v1/teams/2270,https://statsapi.mlb.com/api/v1/teams/2270,https://statsapi.mlb.com/api/v1/venues/401,2022,dch,t2270,DSL CUBR,DSL Cubs Red,,,United States,TBD,United States,,,Dominican Republic,2008,DSL Cubs Red,DSL Cubs Red,DSL Cubs Red,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,401,Dominican Summer League Northeast,/api/v1/divisions/401,16,/api/v1/sports/16,Rookie,Chicago Cubs,112,CHC
201,N,5087,DSL D-backs Red,https://statsapi.mlb.com,/api/v1/teams/5087,https://statsapi.mlb.com/api/v1/teams/5087,https://statsapi.mlb.com/api/v1/venues/401,2022,ddb,t5087,DSL DBR,DSL D-backs Red,,,United States,TBD,United States,,,Dominican Republic,2016,DSL D-backs Red,DSL D-backs Red,DSL D-backs Red,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,250,Dominican Summer League Baseball City,/api/v1/divisions/250,16,/api/v1/sports/16,Rookie,Arizona Diamondbacks,109,ARI
202,N,607,DSL Brewers1,https://statsapi.mlb.com,/api/v1/teams/607,https://statsapi.mlb.com/api/v1/teams/607,https://statsapi.mlb.com/api/v1/venues/401,2022,dbw,t607,DSL BRW1,DSL Brewers1,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Brewers1,DSL Brewers1,DSL Brewers1,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,246,Dominican Summer League San Pedro,/api/v1/divisions/246,16,/api/v1/sports/16,Rookie,Milwaukee Brewers,158,MIL
203,N,608,DSL Cardinals,https://statsapi.mlb.com,/api/v1/teams/608,https://statsapi.mlb.com/api/v1/teams/608,https://statsapi.mlb.com/api/v1/venues/401,2022,dca,t608,DSL CAR,DSL Cardinals,,,United States,TBD,United States,,,Dominican Republic,1987,DSL Cardinals,DSL Cardinals,DSL Cardinals,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,248,Dominican Summer League South,/api/v1/divisions/248,16,/api/v1/sports/16,Rookie,St. Louis Cardinals,138,STL
204,N,609,DSL Cubs Blue,https://statsapi.mlb.com,/api/v1/teams/609,https://statsapi.mlb.com/api/v1/teams/609,https://statsapi.mlb.com/api/v1/venues/401,2022,dcu,t609,DSL CUBB,DSL Cubs Blue,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Cubs Blue,DSL Cubs Blue,DSL Cubs Blue,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,401,Dominican Summer League Northeast,/api/v1/divisions/401,16,/api/v1/sports/16,Rookie,Chicago Cubs,112,CHC
205,N,610,DSL D-backs Black,https://statsapi.mlb.com,/api/v1/teams/610,https://statsapi.mlb.com/api/v1/teams/610,https://statsapi.mlb.com/api/v1/venues/401,2022,ddi,t610,DSL DBB,DSL D-backs Black,,,United States,TBD,United States,,,Dominican Republic,1996,DSL D-backs Black,DSL D-backs Black,DSL D-backs Black,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,250,Dominican Summer League Baseball City,/api/v1/divisions/250,16,/api/v1/sports/16,Rookie,Arizona Diamondbacks,109,ARI
206,N,611,DSL Dodgers Bautista,https://statsapi.mlb.com,/api/v1/teams/611,https://statsapi.mlb.com/api/v1/teams/611,https://statsapi.mlb.com/api/v1/venues/401,2022,ddo,t611,DSL BAU,DSL Dodgers Bautista,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Dodgers Bautista,DSL Dodgers Bautista,DSL Dodgers Bautista,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Los Angeles Dodgers,119,LAD
207,N,612,DSL Dodgers Mega,https://statsapi.mlb.com,/api/v1/teams/612,https://statsapi.mlb.com/api/v1/teams/612,https://statsapi.mlb.com/api/v1/venues/401,2022,ddg,t612,DSL DODM,DSL Dodgers Mega,,,United States,TBD,United States,,,Dominican Republic,1990,DSL Dodgers Mega,DSL Dodgers Mega,DSL Dodgers Mega,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Los Angeles Dodgers,119,LAD
209,N,615,DSL Giants Orange,https://statsapi.mlb.com,/api/v1/teams/615,https://statsapi.mlb.com/api/v1/teams/615,https://statsapi.mlb.com/api/v1/venues/401,2022,dgi,t615,DSL GIO,DSL Giants Orange,,,United States,TBD,United States,,,Dominican Republic,1987,DSL Giants Orange,DSL Giants Orange,DSL Giants Orange,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,248,Dominican Summer League South,/api/v1/divisions/248,16,/api/v1/sports/16,Rookie,San Francisco Giants,137,SFG
210,N,616,DSL Guardians Blue,https://statsapi.mlb.com,/api/v1/teams/616,https://statsapi.mlb.com/api/v1/teams/616,https://statsapi.mlb.com/api/v1/venues/401,2022,dgb,t616,DSL GUB,DSL Guardians Blue,,,United States,TBD,United States,,,Dominican Republic,1987,DSL Guardians Blue,DSL Guardians Blue,DSL Guardians Blue,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,247,Dominican Summer League North,/api/v1/divisions/247,16,/api/v1/sports/16,Rookie,Cleveland Guardians,114,CLE
211,N,618,DSL Mariners,https://statsapi.mlb.com,/api/v1/teams/618,https://statsapi.mlb.com/api/v1/teams/618,https://statsapi.mlb.com/api/v1/venues/401,2022,dmr,t618,DSL SEA,DSL Mariners,,,United States,TBD,United States,,,Dominican Republic,1985,DSL Mariners,DSL Mariners,DSL Mariners,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,248,Dominican Summer League South,/api/v1/divisions/248,16,/api/v1/sports/16,Rookie,Seattle Mariners,136,SEA
212,N,619,DSL Marlins,https://statsapi.mlb.com,/api/v1/teams/619,https://statsapi.mlb.com/api/v1/teams/619,https://statsapi.mlb.com/api/v1/venues/401,2022,dml,t619,DSL MRL,DSL Marlins,,,United States,TBD,United States,,,Dominican Republic,1992,DSL Marlins,DSL Marlins,DSL Marlins,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,249,Dominican Summer League Northwest,/api/v1/divisions/249,16,/api/v1/sports/16,Rookie,Miami Marlins,146,MIA
213,N,620,DSL Mets1,https://statsapi.mlb.com,/api/v1/teams/620,https://statsapi.mlb.com/api/v1/teams/620,https://statsapi.mlb.com/api/v1/venues/401,2022,dme,t620,DSL MET1,DSL Mets1,,,United States,TBD,United States,,,Dominican Republic,1987,DSL Mets1,DSL Mets1,DSL Mets1,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,401,Dominican Summer League Northeast,/api/v1/divisions/401,16,/api/v1/sports/16,Rookie,New York Mets,121,NYM
214,N,2413,DSL Rangers Red,https://statsapi.mlb.com,/api/v1/teams/2413,https://statsapi.mlb.com/api/v1/teams/2413,https://statsapi.mlb.com/api/v1/venues/401,2022,drn,t2413,DSL RGRR,DSL Rangers Red,,,United States,TBD,United States,,,Dominican Republic,2008,DSL Rangers Red,DSL Rangers Red,DSL Rangers Red,TRUE,NA,,,,401,,/api/v1/venues/401,NA,,130,Dominican Summer League,/api/v1/league/130,246,Dominican Summer League San Pedro,/api/v1/divisions/246,16,/api/v1/sports/16,Rookie,Texas Rangers,140,TEX
