"","Name","Team","GS","IP","Pitches","BIP","outs","avg_speed","avg_angle","Contact_pct","BABIP","K_9","BB_9","GB","FB","LD","GB_pct","FB_pct","LD_pct","Soft_pct","Med_pct","Hard_pct","Pull_pct","Cent_pct","Oppo_pct"
"1","Max Fried","ATL",11,69,1025,198,14,65.5538461538462,-32.5714285714286,75.7,0.27,7.96,1.57,104,50,44,52.5,25.3,22.2,19.4,51.2,29.4,39.3,37.3,23.4
"2","Kyle Wright","ATL",10,59.2,912,146,11,76.7222222222222,-40.3636363636364,73.8,0.264,9.96,3.47,77,43,26,52.7,29.5,17.8,15.1,58.9,26,39,45.9,15.1
"3","Sandy Alcantara","MIA",11,74.2,1102,185,9,64.0888888888889,-34.1111111111111,73.6,0.246,8.56,2.89,97,62,26,52.4,33.5,14.1,24.6,50.3,25.1,38.5,39.6,21.9
"4","Jose Quintana","PIT",10,50.1,846,150,9,64.2888888888889,-32.5555555555556,76.3,0.284,7.33,3.22,68,48,34,45.3,32,22.7,19.3,50.7,30,39.3,39.3,21.3
"5","Logan Webb","SFG",10,61.1,917,182,9,59.6888888888889,-33.1111111111111,77.4,0.291,7.34,2.05,106,44,32,58.2,24.2,17.6,17.4,53.8,28.8,42.4,37.5,20.1
"6","Justin Verlander","HOU",10,64.2,929,163,8,64.3625,-50.875,80,0.199,8.49,1.67,62,74,27,38,45.4,16.6,21.2,49.7,29.1,30.9,38.8,30.3
"7","Framber Valdez","HOU",10,63,954,178,8,75.2375,-29.25,80.1,0.263,7.14,3.14,117,21,40,65.7,11.8,22.5,17.7,56.4,26,42,34.8,23.2
"8","Jameson Taillon","NYY",10,58.2,834,174,7,68.9714285714286,-21.8571428571429,80.4,0.253,6.75,0.77,77,69,28,44.3,39.7,16.1,20.3,52,27.7,42.4,32.2,25.4
"9","Miles Mikolas","STL",11,65.2,1067,200,7,64.4,-24.1428571428571,83.3,0.277,6.99,2.06,86,69,45,43,34.5,22.5,20.9,53.7,25.4,43.3,32.3,24.4
"10","German Marquez","COL",10,55,872,184,7,66.7857142857143,-36.1428571428571,80.5,0.343,7.53,2.95,94,53,37,51.1,28.8,20.1,11.8,53.8,34.4,42.5,33.9,23.7
