"","date","batters","pitches","PA","pitchersFaced","calledStrikes","whiffs","swings","BIP","H","BIPouts","BB","SO","outsideZone","badCalls"
"1",2022-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2022-04-07,99,16.7878787878788,4.21212121212121,2.8989898989899,2.93939393939394,1.85858585858586,7.38383838383838,2.78787878787879,0.838383838383838,1.8989898989899,0.424242424242424,0.898989898989899,8.74747474747475,0.464646464646465
"3",2022-04-08,186,16.5645161290323,4.35483870967742,3.16129032258065,2.59677419354839,1.98387096774194,7.90860215053763,2.95698924731183,0.956989247311828,1.94623655913978,0.397849462365591,0.924731182795699,8.14516129032258,0.247311827956989
"4",2022-04-09,203,15.7881773399015,4.13793103448276,2.72413793103448,2.66502463054187,1.86206896551724,7.47290640394089,2.76354679802956,0.827586206896552,1.90147783251232,0.315270935960591,0.970443349753695,7.94581280788177,0.344827586206897
"5",2022-04-10,227,17,4.33039647577093,3.19823788546256,2.82378854625551,1.85022026431718,7.79735682819383,2.94273127753304,0.977973568281938,1.92511013215859,0.414096916299559,0.92511013215859,8.51982378854625,0.325991189427313
"6",2022-04-11,169,17.0532544378698,4.35502958579882,3.0414201183432,2.6508875739645,1.96449704142012,8.0887573964497,2.94674556213018,1,1.88165680473373,0.402366863905325,0.93491124260355,8.43786982248521,0.325443786982249
"7",2022-04-12,221,17.4751131221719,4.38914027149321,3.23529411764706,2.89140271493213,1.89140271493213,7.75565610859729,2.90950226244344,0.923076923076923,1.94117647058824,0.470588235294118,0.918552036199095,9.21719457013575,0.375565610859729
"8",2022-04-13,169,16.9940828402367,4.37869822485207,2.84615384615385,2.6094674556213,1.98224852071006,8.32544378698225,2.84023668639053,0.946745562130177,1.85798816568047,0.396449704142012,1.04733727810651,8.3491124260355,0.248520710059172
"9",2022-04-14,166,16.8493975903614,4.34939759036145,2.81325301204819,2.94578313253012,1.90963855421687,7.8855421686747,2.99397590361446,1.03614457831325,1.89759036144578,0.373493975903614,0.94578313253012,8.12048192771084,0.313253012048193
"10",2022-04-15,216,17.1203703703704,4.35185185185185,2.91203703703704,2.94444444444444,1.8287037037037,7.84259259259259,2.86111111111111,0.898148148148148,1.94907407407407,0.384259259259259,1.01388888888889,8.57407407407407,0.407407407407407
"11",2022-04-16,210,16.4619047619048,4.23809523809524,2.99047619047619,2.87142857142857,1.71904761904762,7.5,3.00952380952381,0.957142857142857,2.0047619047619,0.357142857142857,0.842857142857143,8.2,0.380952380952381
"12",2022-04-17,213,16.8262910798122,4.26760563380282,2.92957746478873,2.74647887323944,1.69953051643192,7.55399061032864,2.78403755868545,0.863849765258216,1.84507042253521,0.497652582159624,0.910798122065728,8.52112676056338,0.248826291079812
"13",2022-04-18,118,16.364406779661,4.16101694915254,2.66949152542373,2.65254237288136,1.91525423728814,7.84745762711864,2.77118644067797,0.855932203389831,1.8728813559322,0.372881355932203,0.966101694915254,8.33898305084746,0.372881355932203
"14",2022-04-19,210,18.1666666666667,4.62380952380952,3.06190476190476,3.0952380952381,1.85714285714286,8.32857142857143,3.15714285714286,0.919047619047619,2.1952380952381,0.433333333333333,0.985714285714286,9.16190476190476,0.385714285714286
"15",2022-04-20,204,16.9264705882353,4.37745098039216,2.79411764705882,2.87745098039216,1.8921568627451,7.98039215686275,2.9656862745098,0.887254901960784,2.00490196078431,0.352941176470588,0.980392156862745,8.37254901960784,0.352941176470588
"16",2022-04-21,135,16.0222222222222,4.2,2.83703703703704,2.6962962962963,1.65925925925926,7.63703703703704,2.92592592592593,0.933333333333333,1.94814814814815,0.340740740740741,0.874074074074074,7.93333333333333,0.392592592592593
"17",2022-04-22,199,16.5477386934673,4.17587939698493,2.80904522613065,2.74874371859296,1.80904522613065,7.88442211055276,2.8643216080402,0.914572864321608,1.91959798994975,0.346733668341709,0.939698492462312,8.17587939698493,0.396984924623116
"18",2022-04-23,222,17.8468468468468,4.54054054054054,3.09009009009009,3.01351351351351,1.95045045045045,8.46396396396396,3.08108108108108,1.0045045045045,2.04054054054054,0.382882882882883,1.02252252252252,8.54054054054054,0.369369369369369
"19",2022-04-24,222,17.0315315315315,4.45945945945946,3.07657657657658,2.66216216216216,2.00900900900901,8.02702702702703,2.93693693693694,0.936936936936937,1.95045045045045,0.441441441441441,1.0045045045045,8.58558558558559,0.265765765765766
"20",2022-04-25,94,15.7340425531915,4.12765957446809,2.27659574468085,2.42553191489362,1.90425531914894,7.73404255319149,2.95744680851064,0.851063829787234,2.06382978723404,0.24468085106383,0.882978723404255,7.85106382978723,0.329787234042553
"21",2022-04-26,221,17.2669683257919,4.29411764705882,2.86425339366516,2.88235294117647,1.84162895927602,8.1447963800905,2.92760180995475,0.900452488687783,1.97285067873303,0.389140271493213,0.886877828054299,8.5972850678733,0.34841628959276
"22",2022-04-27,222,16.9054054054054,4.22972972972973,2.92792792792793,2.7972972972973,1.95495495495495,7.9009009009009,2.81981981981982,0.878378378378378,1.91441441441441,0.36036036036036,0.972972972972973,8.37837837837838,0.342342342342342
"23",2022-04-28,184,16.5163043478261,4.23369565217391,2.73369565217391,2.6195652173913,1.81521739130435,7.86413043478261,2.85326086956522,0.875,1.91847826086957,0.380434782608696,0.923913043478261,8.25,0.304347826086957
"24",2022-04-29,218,17.5183486238532,4.39908256880734,3.05963302752294,2.93577981651376,1.95412844036697,8.10091743119266,3.01376146788991,1.07339449541284,1.91284403669725,0.362385321100917,0.944954128440367,8.6743119266055,0.435779816513761
