"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2015-04-05,75,21,10,314,158,148,43,37,66,45,15,5,23,154,160,10,30,118,118,40
"2",2015-04-06,990,285,109,3727,1965,1729,697,395,646,688,198,64,219,1858,1867,112,565,1163,1266,699
"3",2015-04-07,517,145,60,2024,1070,928,347,202,360,366,104,41,100,1022,999,53,288,638,709,360
"4",2015-04-08,1108,312,133,4274,2218,2000,739,419,817,764,232,70,249,2063,2209,96,593,1407,1419,797
"5",2015-04-09,681,188,74,2569,1356,1192,468,251,468,473,131,55,141,1244,1319,65,358,831,869,486
"6",2015-04-10,1218,322,144,4671,2508,2082,832,433,788,861,280,89,237,2325,2340,106,619,1461,1636,868
"7",2015-04-11,1133,316,121,4267,2215,2000,732,425,760,815,250,76,218,1997,2263,100,542,1458,1421,792
"8",2015-04-12,1256,334,140,4711,2497,2151,836,438,824,889,296,98,244,2286,2368,138,609,1513,1631,839
"9",2015-04-13,1054,294,107,4008,2106,1846,684,390,704,752,230,82,205,1995,2007,101,573,1269,1385,721
"10",2015-04-14,970,269,104,3697,1977,1666,678,344,651,671,203,73,198,1805,1891,114,475,1190,1288,689
"11",2015-04-15,1104,311,112,4229,2273,1897,753,384,729,784,253,78,224,2110,2114,117,581,1316,1490,782
"12",2015-04-16,469,127,55,1795,947,821,320,172,314,335,102,35,90,869,924,41,238,583,612,333
"13",2015-04-17,1113,309,117,4240,2251,1915,776,375,748,792,242,72,230,2030,2205,114,517,1395,1457,794
"14",2015-04-18,1120,316,112,4251,2263,1947,739,410,754,783,250,80,243,2088,2141,112,558,1382,1503,748
"15",2015-04-19,1119,320,112,4285,2256,1990,728,388,786,816,260,88,197,2069,2216,100,551,1439,1490,766
"16",2015-04-20,647,183,64,2422,1307,1098,422,216,416,466,141,52,121,1166,1255,48,313,785,840,466
"17",2015-04-21,1180,324,140,4579,2522,2005,792,395,787,823,282,108,235,2265,2310,114,545,1459,1685,834
"18",2015-04-22,1121,320,114,4287,2322,1914,760,411,716,787,252,92,220,2110,2174,91,564,1350,1512,810
"19",2015-04-23,898,251,101,3449,1870,1537,617,353,582,602,171,72,202,1700,1747,87,452,1085,1220,650
"20",2015-04-24,1114,315,109,4185,2147,1977,719,415,757,805,246,66,226,2064,2119,107,601,1375,1416,731
"21",2015-04-25,998,274,110,3779,2087,1657,702,317,611,729,230,73,181,1809,1966,95,442,1213,1338,748
"22",2015-04-26,1092,287,112,4150,2165,1919,732,401,738,780,252,80,214,2009,2138,95,561,1357,1394,769
"23",2015-04-27,970,273,98,3720,2014,1656,667,343,621,692,219,80,181,1823,1896,88,494,1161,1298,716
"24",2015-04-28,1085,295,110,3985,2099,1837,690,354,697,786,280,75,207,1947,2037,104,509,1328,1399,699
"25",2015-04-29,1135,309,121,4340,2271,2025,769,412,810,803,262,65,247,2160,2177,121,623,1401,1509,760
"26",2015-04-30,613,164,66,2294,1244,1032,421,219,361,452,155,47,109,1091,1202,54,283,749,797,446
"27",2015-05-01,1083,309,119,4148,2155,1939,700,399,788,752,223,81,230,2045,2102,107,568,1371,1436,718
"28",2015-05-02,1126,311,115,4233,2209,1969,730,392,743,834,266,70,207,2050,2178,106,563,1404,1449,758
"29",2015-05-03,1187,318,138,4481,2317,2094,745,422,831,841,263,83,233,2207,2271,129,616,1477,1540,776
"30",2015-05-04,738,205,69,2800,1468,1303,461,284,487,532,169,51,146,1389,1411,62,396,907,974,494
"31",2015-05-05,1003,277,100,3746,2013,1707,649,341,649,717,201,74,198,1875,1871,110,495,1212,1362,651
