"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"11","SL",2022-04-20,86.9,-1.26,5.76,"Hayes, Ke'Bryan",663647,605540,"field_out","hit_into_play",NA,NA,NA,NA,6,"Ke'Bryan Hayes flies out to left fielder Christian Yelich.","R","R","R","MIL","PIT","X",7,"fly_ball",1,1,2022,0.21,0.23,0.4,2.36,NA,595284,596129,2,6,"Top",108.47,99.73,NA,NA,553882,NA,NA,3.5643729924269,-126.605114068604,-2.46806046558227,1.51272889430653,25.6892528990448,-29.3794046503471,3.08,1.5,252,74.3,37,87.1,2476,6.4,661203,605540,553882,642133,543939,607054,642715,592885,621438,592669,54.14,0.197,0.182,0,1,0,0,3,40,3,"Slider",1,0,0,1,0,1,0,1,"Standard","Standard",116,0.071,-0.456
"12","SI",2022-04-20,94.5,-1.13,5.88,"Tsutsugo, Yoshi",660294,605540,"field_out","hit_into_play",NA,NA,NA,NA,5,"Yoshi Tsutsugo lines out sharply to left fielder Christian Yelich.","R","L","R","MIL","PIT","X",7,"line_drive",1,1,2022,-1.03,1.09,-0.27,2.6,NA,NA,596129,2,4,"Top",59.59,74.36,NA,NA,553882,NA,NA,4.55106801402957,-137.506009519639,-5.3070508757996,-14.0982342730013,30.3754748353629,-17.3021161362788,3.31,1.58,349,101.1,19,94.8,2230,6.5,661203,605540,553882,642133,543939,607054,642715,592885,621438,592669,54.02,0.534,0.68,0,1,0,0,5,25,3,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",204,0.029,-0.212
"13","SI",2022-04-23,93.1,-1.12,6,"Segura, Jean",516416,605288,"field_out","hit_into_play",NA,NA,NA,NA,4,"Jean Segura lines out to left fielder Christian Yelich.","R","R","R","PHI","MIL","X",7,"line_drive",0,2,2022,-1.24,0.99,-0.81,2.26,NA,NA,546318,0,5,"Bot",93.99,102.05,NA,NA,553882,NA,NA,3.53337968081248,-135.423123851555,-6.02532454681612,-15.9786084413701,30.4557699048698,-18.8925307456559,3,1.46,264,81.2,23,93.5,1988,6.6,661620,605288,553882,642133,543939,607054,642715,592885,456715,592669,53.86,0.5,0.451,0,1,0,0,4,41,3,"Sinker",3,4,3,4,4,3,3,4,"Standard","Standard",222,-0.05,-0.201
"14","FC",2022-04-25,94.7,-0.73,5.99,"Vosler, Jason",613564,669203,"field_out","hit_into_play",NA,NA,NA,NA,5,"Jason Vosler flies out to left fielder Christian Yelich.","R","L","R","MIL","SF","X",7,"fly_ball",0,1,2022,0.25,1.59,-0.23,2.52,NA,NA,NA,0,3,"Top",59.55,80.97,NA,NA,605170,NA,NA,0.757635654712431,-137.70807512578,-6.85977229346936,2.93880139278136,33.7221376816398,-10.6337779351611,3.26,1.54,335,95,33,94.1,2481,6.2,661210,669203,605170,669374,543939,670712,642715,592885,456715,592669,54.31,0.214,0.356,0,1,0,0,3,17,2,"Cutter",1,0,0,1,0,1,0,1,"Standard","Standard",202,0.026,-0.188
"15","SI",2022-04-26,96.3,-1.22,5.77,"Gamel, Ben",592325,605540,"field_out","hit_into_play",NA,NA,NA,NA,7,"Ben Gamel flies out to left fielder Christian Yelich.","R","L","R","PIT","MIL","X",7,"fly_ball",1,2,2022,-1.24,1.18,-0.8,1.94,NA,596129,663647,0,3,"Bot",46.25,104.24,NA,NA,553882,NA,NA,3.96479277665319,-139.963802751959,-7.25308305077452,-17.1789905608107,34.8208286883014,-15.1427446491112,3.17,1.49,305,92.8,26,96.3,2360,6.6,662297,605540,553882,642133,543939,607054,642715,592885,456715,621438,53.9,0.194,0.267,0,1,0,0,3,24,5,"Sinker",1,2,1,2,2,1,1,2,"Standard","Standard",210,-0.063,-0.301
"16","FF",2022-04-26,85.2,2.42,6.18,"Suwinski, Jack",669261,608718,"field_out","hit_into_play",NA,NA,NA,NA,13,"Jack Suwinski flies out to left fielder Christian Yelich.","R","L","L","PIT","MIL","X",7,"fly_ball",1,0,2022,-0.15,1.17,-0.85,2.46,NA,NA,NA,0,6,"Bot",74.23,105.44,NA,NA,553882,NA,NA,-7.51571112909873,-123.912555217546,-4.90395133036725,-0.148310443473396,23.1932002629462,-19.2969103962185,3.47,1.59,266,78.9,33,86.9,2069,7.3,662297,608718,553882,642133,543939,607054,642715,592885,456715,621438,53.23,0.057,0.07,0,1,0,0,3,56,2,"4-Seam Fastball",4,10,4,10,10,4,4,10,"Standard","Standard",170,-0.007,-0.257
"17","FF",2022-04-26,95.2,-1.27,5.92,"Gamel, Ben",592325,605540,"field_out","hit_into_play",NA,NA,NA,NA,2,"Ben Gamel lines out to left fielder Christian Yelich.","R","L","R","PIT","MIL","X",7,"line_drive",1,2,2022,-0.39,1.4,0.04,2.9,NA,NA,663647,1,1,"Bot",87.13,117.11,NA,NA,553882,NA,NA,4.33991314671109,-138.527301947254,-5.39330142961019,-6.0331684549566,33.2957275007586,-13.2178187596991,3.17,1.49,266,92.5,18,95.4,2386,6.6,662297,605540,553882,642133,543939,607054,642715,592885,456715,621438,53.94,0.446,0.46,0,1,0,0,4,9,4,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shift","Standard",200,-0.029,-0.215
"18","FF",2022-04-27,94.3,0.7,6.29,"Suwinski, Jack",669261,676879,"field_out","hit_into_play",NA,NA,NA,NA,3,"Jack Suwinski flies out to left fielder Christian Yelich.","R","L","L","PIT","MIL","X",7,"fly_ball",2,1,2022,0.84,0.97,0.32,2.96,NA,NA,660294,2,2,"Bot",64.91,68.85,NA,NA,553882,NA,NA,-2.83165649650801,-137.250049013624,-5.05936091430925,11.305589884216,30.3162307997662,-19.0271453175692,3.47,1.59,355,96.6,27,93,2034,5.5,662289,676879,553882,642133,543939,670712,642715,592885,621438,592669,55.01,0.426,0.696,0,1,0,0,5,14,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",144,-0.024,-0.243
"19","SI",2022-04-29,93.8,-1.07,5.94,"Wisdom, Patrick",621550,605288,"field_out","hit_into_play",NA,NA,NA,NA,13,"Patrick Wisdom flies out to left fielder Christian Yelich.","R","R","R","MIL","CHC","X",7,"fly_ball",0,0,2022,-1.12,0.45,-0.96,2.52,NA,NA,663845,1,2,"Top",37.28,80.86,NA,NA,553882,NA,NA,2.7849418093869,-136.626003601761,-4.15491355284939,-14.6256648376705,29.1054713410898,-25.8393491867631,3.45,1.61,362,93.5,31,94.3,2025,6.5,661209,605288,553882,642133,543939,607054,642715,592885,456715,592669,54.02,0.171,0.291,0,1,0,0,3,11,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",220,0.029,-0.301
"20","FC",2022-04-30,92.5,1.32,5.88,"Schwindel, Frank",643524,641778,"field_out","hit_into_play",NA,NA,NA,NA,4,"Frank Schwindel flies out to left fielder Christian Yelich.","R","R","L","MIL","CHC","X",7,"fly_ball",3,2,2022,0.02,1.04,-0.52,2.35,NA,NA,NA,1,2,"Top",77.84,96.53,NA,NA,656577,NA,NA,-4.71593841348226,-134.65649575137,-5.48771761934406,1.29146781325588,28.2591472486914,-18.523403164314,3.31,1.58,281,83.6,41,92.2,2426,6,661208,641778,656577,642133,669374,670712,642715,592885,456715,592669,54.47,0.009,0.01,0,1,0,0,3,13,7,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",159,0.013,-0.207
"21","FC",2022-04-30,91,-3.16,5.04,"Rivas, Alfonso",663845,641627,"field_out","hit_into_play",NA,NA,NA,NA,8,"Alfonso Rivas flies out to left fielder Christian Yelich.","R","L","R","MIL","CHC","X",7,"fly_ball",2,1,2022,0.07,0.56,0.2,1.86,NA,NA,NA,2,8,"Top",49.29,98.68,NA,NA,656577,NA,NA,8.26018704041877,-132.421387836109,-3.33610532615755,-0.800891771461352,25.846703332209,-25.0313222257707,3.21,1.47,312,89.6,33,91.1,2307,6.1,661208,641627,656577,642133,669374,670712,642715,592885,456715,592669,54.36,0.077,0.105,0,1,0,0,3,64,4,"Cutter",6,1,1,6,1,6,1,6,"Standard","Standard",203,0.002,-0.109
"22","FC",2022-05-01,94.1,-0.53,6.04,"Hoerner, Nico",663538,669203,"field_out","hit_into_play",NA,NA,NA,NA,3,"Nico Hoerner flies out to left fielder Christian Yelich.","R","R","R","MIL","CHC","X",7,"fly_ball",2,1,2022,0.23,1,0.31,2.83,NA,NA,NA,0,3,"Top",77.31,86.42,NA,NA,553882,NA,NA,1.65273506665202,-137.112526924036,-4.8816637962611,2.57145491385959,28.7856855449787,-18.7076929986447,3.22,1.56,304,82.4,35,94.4,2595,6.3,661216,669203,553882,642133,543939,607054,642715,592885,621438,592669,54.25,0.034,0.041,0,1,0,0,3,13,4,"Cutter",0,0,0,0,0,0,0,0,"Standard","Standard",181,0.025,-0.264
"23","CH",2022-05-01,91.8,-0.7,5.84,"Happ, Ian",664023,669203,"field_out","hit_into_play",NA,NA,NA,NA,7,"Ian Happ flies out to left fielder Christian Yelich.","R","L","R","MIL","CHC","X",7,"fly_ball",0,1,2022,-0.98,1.01,-0.69,1.76,NA,NA,NA,2,1,"Top",82.18,91.14,NA,NA,553882,NA,NA,2.14921611723504,-133.633153211102,-6.69518726328354,-12.2010352173726,28.5160688985891,-18.8586512097389,3.51,1.62,318,86.9,28,92.2,1990,6.5,661216,669203,553882,642133,543939,607054,642715,592885,621438,592669,54.04,0.051,0.096,0,1,0,0,3,3,2,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",219,0.01,-0.077
"24","CH",2022-05-09,83.1,-1.36,5.89,"Friedl, TJ",670770,605540,"field_out","hit_into_play",NA,NA,NA,NA,4,"TJ Friedl flies out to left fielder Christian Yelich.","R","L","R","CIN","MIL","X",7,"fly_ball",1,1,2022,-1.42,0.51,-0.51,2.34,NA,NA,608703,1,3,"Bot",52.4,128.99,NA,NA,553882,NA,NA,4.76494885020821,-120.925953106829,-2.64082472334523,-14.8475808046878,25.0108751238897,-26.8571357641624,3.13,1.46,251,77.3,42,83.4,1829,6.6,663101,605540,553882,607054,543939,649966,642715,592885,621438,592669,53.88,0.046,0.051,0,1,0,0,3,19,3,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",215,-0.025,-0.273
