"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2022-04-07,508,139,67,2030,1133,885,361,222,333,330,94,52,114,1025,1005,44,252,633,763,370
"2",2022-04-08,927,239,131,3543,1825,1701,568,433,652,616,194,82,212,1710,1833,47,477,1224,1219,606
"3",2022-04-09,1062,294,138,4072,2117,1933,693,500,734,699,201,82,259,1994,2078,88,552,1381,1424,693
"4",2022-04-10,1143,303,142,4480,2413,2051,757,494,789,768,248,107,254,2184,2296,78,529,1522,1642,771
"5",2022-04-11,839,218,111,3304,1730,1554,526,384,607,563,180,75,188,1621,1683,68,412,1142,1196,534
"6",2022-04-12,1140,297,155,4565,2496,2053,756,516,791,746,227,117,256,2339,2226,88,584,1469,1742,754
"7",2022-04-13,907,241,107,3524,1795,1704,556,433,692,579,179,78,231,1730,1794,65,478,1226,1234,561
"8",2022-04-14,832,211,99,3226,1698,1510,558,363,570,577,195,71,176,1555,1670,62,412,1097,1131,567
"9",2022-04-15,1129,300,139,4437,2368,2043,767,500,803,740,235,97,268,2179,2256,103,541,1502,1616,750
"10",2022-04-16,1088,290,132,4252,2295,1946,747,475,718,753,227,84,243,2084,2167,108,518,1428,1557,737
"11",2022-04-17,1053,280,130,4182,2274,1880,690,440,758,682,206,120,232,2078,2099,56,521,1358,1536,734
"12",2022-04-18,579,155,66,2265,1179,1079,367,277,422,380,118,53,139,1127,1138,43,317,762,806,373
"13",2022-04-19,1145,282,144,4512,2412,2083,767,478,827,778,219,98,256,2241,2270,94,596,1487,1633,778
"14",2022-04-20,1133,303,136,4404,2291,2092,741,526,816,750,225,87,278,2146,2258,78,602,1490,1525,766
"15",2022-04-21,721,197,91,2777,1439,1325,469,300,525,500,155,52,160,1365,1412,56,392,933,965,474
"16",2022-04-22,1015,282,125,4063,2114,1943,686,476,791,676,208,81,253,2006,2057,96,566,1377,1436,678
"17",2022-04-23,1206,305,157,4709,2437,2251,797,519,910,822,260,97,273,2226,2483,92,594,1657,1616,821
"18",2022-04-24,1171,310,153,4471,2350,2098,718,523,805,770,246,110,270,2229,2242,60,628,1470,1585,765
"19",2022-04-25,490,134,53,1844,924,908,288,231,332,345,98,29,110,894,950,25,266,642,621,303
"20",2022-04-26,1123,294,138,4540,2397,2125,767,492,880,753,228,100,249,2244,2296,74,613,1512,1615,782
"21",2022-04-27,1104,297,144,4415,2303,2093,718,520,839,734,225,91,260,2152,2263,71,577,1516,1559,744
"22",2022-04-28,951,260,111,3684,1931,1737,604,403,689,645,188,80,208,1849,1831,55,542,1194,1293,635
"23",2022-04-29,1141,298,143,4535,2416,2096,782,515,810,771,267,97,256,2210,2325,93,581,1515,1614,802
"24",2022-04-30,1080,293,123,4123,2123,1980,689,479,765,736,207,83,247,1993,2130,69,573,1407,1408,715
"25",2022-05-01,1149,296,131,4485,2314,2152,712,480,880,792,267,92,244,2244,2241,73,647,1505,1581,733
"26",2022-05-02,543,149,65,2145,1066,1069,366,244,441,384,103,23,127,1040,1105,43,338,731,695,371
"27",2022-05-03,1020,264,114,3818,1967,1829,623,393,700,736,224,72,199,1824,1994,64,491,1338,1320,647
"28",2022-05-04,1269,313,149,4906,2561,2327,787,514,953,860,258,120,273,2399,2502,87,638,1687,1747,811
"29",2022-05-05,740,188,86,2842,1432,1394,490,309,563,522,184,40,166,1333,1509,48,394,1000,929,503
"30",2022-05-06,650,175,80,2528,1307,1214,385,274,510,430,121,66,148,1222,1306,30,340,874,876,431
"31",2022-05-07,1133,247,128,4465,2369,2082,740,501,838,743,233,113,265,2178,2287,67,586,1496,1581,788
"32",2022-05-08,1294,308,151,5117,2695,2394,829,576,958,860,252,104,312,2511,2606,86,684,1710,1809,886
"33",2022-05-09,827,221,87,3199,1678,1509,548,361,582,566,185,62,191,1538,1661,61,417,1092,1114,564
"34",2022-05-10,1216,293,137,4794,2467,2304,762,529,953,822,268,111,264,2354,2440,85,642,1662,1695,772
"35",2022-05-11,1075,274,128,4172,2132,2021,638,481,794,746,247,83,231,2023,2149,51,563,1458,1447,685
"36",2022-05-12,598,155,70,2356,1237,1114,364,263,440,411,121,58,125,1167,1189,40,300,814,863,374
"37",2022-05-13,1158,289,127,4384,2273,2093,715,472,809,812,263,94,236,2144,2239,77,610,1482,1519,754
"38",2022-05-14,1178,300,140,4659,2446,2197,770,496,883,818,253,95,251,2281,2378,73,627,1570,1642,804
"39",2022-05-15,1109,297,124,4341,2211,2112,653,501,861,750,211,92,249,2122,2219,67,611,1501,1499,712
"40",2022-05-16,876,233,98,3395,1760,1621,553,376,647,598,179,64,202,1671,1724,57,474,1147,1186,574
"41",2022-05-17,1357,309,146,5266,2745,2497,904,549,1024,924,307,115,304,2510,2755,73,701,1795,1795,950
"42",2022-05-18,1051,273,124,4087,2136,1932,678,501,710,721,234,71,244,2085,2002,88,595,1337,1475,661
"43",2022-05-19,617,157,73,2444,1239,1194,374,264,498,432,151,50,129,1171,1273,31,337,857,828,411
"44",2022-05-20,996,256,120,3858,1994,1850,644,404,740,706,217,70,209,1852,2005,67,532,1318,1308,685
"45",2022-05-21,1127,285,137,4327,2243,2070,710,463,816,791,267,75,246,2105,2222,75,585,1485,1509,734
"46",2022-05-22,1232,304,135,4699,2404,2275,745,543,863,869,275,87,260,2311,2388,85,645,1630,1654,750
"47",2022-05-23,929,240,108,3666,1908,1740,581,397,705,638,212,83,199,1804,1862,61,509,1231,1284,624
"48",2022-05-24,1180,294,127,4600,2366,2216,721,528,889,799,291,92,275,2278,2322,68,647,1569,1617,749
"49",2022-05-25,943,251,114,3817,1985,1814,591,442,761,611,186,94,230,1954,1863,57,589,1225,1357,628
"50",2022-05-26,859,218,88,3243,1684,1549,537,332,589,628,211,66,158,1561,1682,54,423,1126,1130,554
"51",2022-05-27,894,237,103,3439,1772,1650,559,373,645,632,205,71,179,1715,1724,63,497,1153,1206,566
