"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2017-04-02,237,66,27,913,479,431,142,122,148,161,65,16,57,483,429,39,131,300,349,129
"2",2017-04-03,810,223,100,3090,1668,1406,513,297,547,562,175,68,171,1511,1552,80,374,1017,1128,528
"3",2017-04-04,668,186,80,2612,1356,1243,436,321,469,453,141,56,149,1249,1153,63,370,773,872,376
"4",2017-04-05,994,266,124,3970,2097,1847,642,441,745,661,195,81,238,1925,2043,83,469,1376,1443,654
"5",2017-04-06,896,254,105,3505,1934,1553,607,342,614,597,179,94,195,1752,1748,92,403,1150,1339,590
"6",2017-04-07,1142,320,131,4512,2453,2039,772,455,814,770,248,105,248,2192,2284,108,521,1502,1657,776
"7",2017-04-08,1130,318,115,4410,2353,2037,730,468,791,778,260,94,244,2172,2192,118,563,1457,1594,730
"8",2017-04-09,1168,321,121,4462,2358,2082,752,463,813,806,254,106,238,2173,2272,135,569,1504,1589,761
"9",2017-04-10,721,213,75,2820,1516,1287,478,293,501,493,141,59,163,1340,1461,63,313,965,1017,489
"10",2017-04-11,928,252,97,3619,1936,1665,618,382,649,634,208,74,204,1784,1811,79,464,1192,1308,613
"11",2017-04-12,1120,312,130,4336,2343,1962,755,409,767,786,238,89,231,2091,2206,123,475,1477,1600,714
"12",2017-04-13,864,236,88,3342,1757,1566,556,344,626,596,188,70,193,1583,1734,75,394,1159,1181,564
"13",2017-04-14,1136,306,122,4429,2371,2029,757,434,792,803,255,94,219,2151,2223,111,535,1465,1593,752
"14",2017-04-15,1083,309,109,4139,2216,1897,728,436,738,723,217,83,260,2004,2087,102,514,1364,1474,713
"15",2017-04-16,1040,290,119,4081,2182,1876,674,402,750,724,233,84,219,1953,2091,99,448,1411,1490,672
"16",2017-04-17,717,203,69,2680,1427,1236,494,301,431,504,160,46,161,1295,1373,90,343,890,941,477
"17",2017-04-18,1138,323,128,4444,2370,2052,758,474,765,813,247,82,233,2181,2242,143,515,1529,1652,705
"18",2017-04-19,1007,284,102,3824,2056,1754,667,416,648,690,230,73,232,1823,1863,92,477,1213,1339,643
"19",2017-04-20,819,223,86,3217,1664,1543,538,419,605,519,151,66,229,1523,1513,87,450,991,1067,519
"20",2017-04-21,1161,319,129,4554,2456,2060,754,420,825,815,247,95,234,2250,2284,102,530,1521,1700,747
"21",2017-04-22,1152,319,129,4379,2355,1995,739,471,720,804,264,88,243,2144,2229,98,511,1479,1617,737
"22",2017-04-23,1115,311,113,4270,2302,1945,722,435,752,758,238,97,244,2138,2121,93,540,1401,1582,713
"23",2017-04-24,678,191,73,2636,1423,1198,418,256,466,476,152,65,128,1305,1329,74,294,903,1002,420
"24",2017-04-25,958,259,98,3655,1961,1678,633,331,660,687,235,81,182,1759,1891,104,402,1274,1347,611
"25",2017-04-26,1118,289,123,4366,2345,1995,723,444,785,766,275,103,238,2160,2182,94,556,1426,1593,741
"26",2017-04-27,819,219,86,3084,1632,1427,523,300,533,594,179,63,154,1478,1591,85,350,1069,1116,509
"27",2017-04-28,1170,306,127,4414,2324,2063,754,463,784,816,297,83,258,2153,2252,108,562,1498,1577,741
"28",2017-04-29,990,281,101,3861,2076,1753,686,378,694,681,220,80,215,1854,2000,113,421,1329,1421,651
"29",2017-04-30,1212,323,140,4721,2563,2141,816,492,814,835,293,99,267,2312,2380,131,530,1600,1773,773
"30",2017-05-01,820,227,81,3214,1726,1466,535,317,572,577,165,70,159,1568,1642,75,379,1083,1174,552
"31",2017-05-02,1163,319,121,4647,2530,2085,737,481,843,761,251,124,262,2382,2258,114,569,1512,1794,733
"32",2017-05-03,1087,301,111,4284,2323,1932,702,444,743,745,251,102,231,2156,2096,87,540,1373,1603,708
"33",2017-05-04,923,233,99,3565,1917,1627,601,325,670,632,224,91,184,1733,1821,67,432,1189,1290,622
"34",2017-05-05,1183,324,134,4633,2492,2100,818,490,801,809,283,85,271,2279,2333,100,568,1523,1688,793
"35",2017-05-06,1136,314,110,4403,2352,2031,750,395,822,814,261,87,224,2116,2270,93,512,1511,1592,751
"36",2017-05-07,1145,305,127,4457,2396,2025,767,480,774,771,211,102,252,2170,2278,97,527,1496,1623,766
"37",2017-05-08,688,191,66,2787,1498,1267,473,296,510,461,158,55,163,1416,1365,80,359,903,1045,452
"38",2017-05-09,1272,332,140,4856,2639,2181,854,486,820,875,282,119,261,2408,2441,118,610,1569,1776,858
"39",2017-05-10,988,275,106,3849,2013,1809,636,405,719,685,241,87,204,1917,1926,79,534,1273,1369,640
"40",2017-05-11,729,201,71,2832,1502,1322,501,313,509,500,155,57,165,1433,1397,94,422,898,1008,494
"41",2017-05-12,1085,291,120,4133,2170,1934,678,412,750,772,238,75,221,2086,2043,108,568,1365,1500,667
"42",2017-05-13,1029,292,113,4136,2202,1912,695,451,769,692,225,83,241,2076,2054,98,544,1365,1520,679
"43",2017-05-14,1330,325,152,5260,2849,2380,887,509,947,924,332,126,257,2543,2706,124,585,1788,1936,909
"44",2017-05-15,625,163,69,2430,1325,1087,419,271,415,401,138,64,148,1269,1152,80,328,757,926,392
"45",2017-05-16,1200,313,128,4651,2452,2176,811,463,845,868,296,82,233,2243,2395,97,598,1572,1632,814
"46",2017-05-17,1089,301,124,4207,2186,1984,720,419,782,783,247,83,206,2068,2126,116,547,1427,1497,686
"47",2017-05-18,888,238,92,3511,1902,1581,611,336,651,594,197,87,196,1799,1708,116,473,1106,1308,592
"48",2017-05-19,1169,320,131,4616,2418,2163,769,504,869,790,255,101,258,2286,2325,104,615,1547,1648,766
"49",2017-05-20,1015,274,107,4035,2130,1879,671,404,760,715,237,82,204,1978,2031,91,524,1345,1440,674
"50",2017-05-21,1203,311,118,4591,2383,2174,738,483,857,834,276,96,256,2268,2314,99,619,1550,1633,746
"51",2017-05-22,655,184,70,2536,1353,1164,457,262,449,453,152,40,150,1256,1276,79,338,825,908,443
"52",2017-05-23,1123,310,118,4350,2272,2045,735,446,810,789,254,75,241,2184,2162,123,616,1427,1553,717
"53",2017-05-24,1112,309,115,4290,2310,1960,725,432,757,771,243,90,241,2164,2105,122,564,1389,1591,705
"54",2017-05-25,750,214,83,2932,1548,1365,480,326,524,515,174,60,166,1505,1372,87,426,916,1067,449
"55",2017-05-26,1083,298,109,4196,2216,1962,740,476,737,749,229,72,249,2059,2131,102,569,1390,1480,733
"56",2017-05-27,1165,308,123,4611,2425,2153,774,514,874,765,243,102,284,2312,2288,106,642,1506,1655,764
"57",2017-05-28,1200,319,122,4651,2415,2215,769,472,883,860,304,88,241,2241,2402,105,613,1599,1619,791
"58",2017-05-29,1127,313,132,4421,2378,2004,753,443,779,782,257,88,229,2199,2212,135,555,1442,1617,758
"59",2017-05-30,1179,317,131,4593,2429,2131,785,523,816,792,283,100,273,2147,2443,76,543,1586,1587,841
"60",2017-05-31,1147,306,115,4452,2332,2098,732,475,827,796,257,83,262,2131,2312,69,562,1532,1562,765
"61",2017-06-01,579,165,59,2321,1264,1043,429,272,389,382,128,41,152,1186,1133,63,332,710,846,417
"62",2017-06-02,1166,312,118,4510,2381,2105,779,481,810,814,290,76,263,2156,2330,76,568,1522,1573,799
"63",2017-06-03,1155,311,124,4611,2414,2171,751,478,886,807,266,97,236,2232,2370,92,591,1575,1626,784
"64",2017-06-04,1130,313,129,4541,2364,2142,758,442,922,778,257,93,238,2159,2373,89,568,1571,1569,789
"65",2017-06-05,502,146,49,1987,1038,944,330,197,397,350,109,34,114,961,1013,44,261,677,700,331
"66",2017-06-06,1133,305,122,4450,2401,2030,776,478,778,774,267,93,255,2133,2305,75,551,1472,1571,825
"67",2017-06-07,1118,308,125,4401,2350,2030,729,471,800,759,239,88,256,2153,2243,79,549,1477,1591,758
"68",2017-06-08,909,256,97,3488,1811,1664,570,362,661,641,223,62,198,1711,1735,72,494,1153,1210,576
"69",2017-06-09,1143,318,117,4382,2329,2014,746,426,786,802,283,92,230,2153,2223,97,563,1449,1568,757
"70",2017-06-10,1297,338,143,4945,2495,2415,816,588,931,896,302,82,293,2377,2559,110,684,1725,1671,821
"71",2017-06-11,1145,319,133,4480,2358,2094,745,495,813,786,283,96,255,2134,2341,77,559,1533,1564,791
"72",2017-06-12,729,184,72,2742,1470,1267,473,279,462,526,198,57,140,1340,1401,61,350,917,985,484
"73",2017-06-13,1278,313,133,4864,2560,2274,799,454,899,921,338,94,249,2366,2493,99,621,1650,1728,830
"74",2017-06-14,1167,318,124,4433,2228,2171,676,479,845,847,303,80,222,2136,2297,76,589,1582,1525,703
"75",2017-06-15,789,208,77,3087,1590,1477,509,326,586,565,212,56,158,1450,1637,61,380,1097,1059,531
"76",2017-06-16,1118,320,116,4303,2249,2033,718,448,800,785,259,84,237,2058,2241,82,555,1476,1491,756
"77",2017-06-17,1244,320,138,4824,2528,2261,823,523,883,855,301,79,289,2294,2522,85,634,1621,1641,885
"78",2017-06-18,1147,309,125,4431,2289,2101,707,497,820,784,270,95,243,2174,2239,93,592,1498,1555,727
"79",2017-06-19,845,234,86,3318,1729,1569,525,354,629,586,196,70,171,1654,1656,71,458,1106,1180,546
"80",2017-06-20,1165,305,130,4495,2356,2108,741,450,843,815,276,93,238,2189,2298,92,583,1522,1584,767
"81",2017-06-21,1131,311,128,4478,2306,2160,723,546,866,748,257,83,290,2157,2316,77,619,1537,1532,773
"82",2017-06-22,929,247,97,3702,1947,1739,604,364,719,656,243,73,189,1798,1901,72,469,1268,1315,631
