"","out_plays","avg_speed","avg_angle","outs_over94","outs_over99","outs_LD","outs_GB","Name","Team","IP","Pitches","BIP","BIP_per_IP","BABIP","K_9","BB_9","GB","LD","GB_pct","LD_pct","Hard_pct","Cent_pct"
"45",6,68.9833333333333,-36.6666666666667,1,1,0,6,"Dane Dunning","TEX",61.1,985,172,2.81505728314239,0.302,9.24,2.93,89,38,51.7,22.1,38.1,34.1
"46",6,63.2666666666667,-33.3333333333333,0,0,1,5,"Brad Keller","KCR",66.2,976,218,3.29305135951662,0.269,5,2.7,109,43,50,19.7,27.4,39.3
"47",3,50.0666666666667,-33,0,0,0,2,"Chris Flexen","SEA",62,965,199,3.20967741935484,0.29,6.1,3.05,70,40,35.2,20.1,33.7,35.1
"48",6,61.08,-15.6,1,0,0,5,"Kyle Gibson","PHI",57.1,953,168,2.94220665499124,0.309,8.16,2.67,83,41,49.4,24.4,27.1,38.8
"49",12,70.4833333333333,-36.9166666666667,2,2,0,12,"Ranger Suarez","PHI",55,990,170,3.09090909090909,0.319,7.69,3.6,90,30,52.9,17.6,23.3,30.8
"50",6,60.35,-28.8333333333333,0,0,1,5,"Jordan Lyles","BAL",62,1037,193,3.11290322580645,0.351,7.84,2.76,85,44,44,22.8,31.3,34.4
"51",2,92.05,-18.5,1,1,0,2,"Kyle Freeland","COL",59.2,962,199,3.36148648648649,0.321,6.79,3.02,87,47,43.7,23.6,32.7,38.7
"52",1,48.2,-78,0,0,0,1,"Josiah Gray","WSN",57.1,976,147,2.57443082311734,0.244,9.89,4.4,33,37,22.4,25.2,32.9,36.2
"53",6,69.7333333333333,-35.8333333333333,1,0,1,5,"Zach Plesac","CLE",55.1,867,179,3.2486388384755,0.287,6.67,2.11,69,44,38.5,24.6,34.4,30
"54",4,54.5,-59,0,0,0,4,"Bruce Zimmermann","BAL",57.1,871,182,3.18739054290718,0.308,6.59,1.73,72,37,39.6,20.3,28.6,29.7
"55",4,66.375,-44,0,0,0,4,"Robbie Ray","SEA",70.2,1122,191,2.72079772079772,0.292,9.81,3.44,69,41,36.1,21.5,34.9,31.3
"56",5,67,-39.4,0,0,0,5,"Kyle Hendricks","CHC",58.2,935,188,3.23024054982818,0.272,5.68,2.91,72,41,38.3,21.8,32.1,33.7
"57",4,52.725,-21.75,0,0,0,4,"Jose Berrios","TOR",56.2,893,179,3.18505338078292,0.318,7.78,2.54,57,45,31.8,25.1,34.4,33.9
"58",1,52.8,72,0,0,0,0,"Hunter Greene","CIN",55,957,143,2.6,0.271,11.78,3.93,39,26,27.3,18.2,35.4,34
"59",4,66.375,-36.5,1,1,1,3,"Tyler Mahle","CIN",59.2,1131,168,2.83783783783784,0.301,9.65,4.22,60,35,35.7,20.8,29,33.1
"60",7,66.7857142857143,-36.1428571428571,2,2,0,7,"German Marquez","COL",61,977,199,3.26229508196721,0.333,7.82,3.25,99,42,49.7,21.1,35.3,33.8
"61",6,64.15,-30.3333333333333,0,0,0,6,"Patrick Corbin","WSN",60.1,1023,205,3.41098169717138,0.377,7.91,3.58,100,46,48.8,22.4,38.8,37.9
