"","GB_pct","out_plays","Name","Team"
"1",65.5,8,"Framber Valdez","HOU"
"2",57.3,10,"Logan Webb","SFG"
"3",55.9,5,"Dakota Hudson","STL"
"4",54.7,5,"Martin Perez","TEX"
"5",53.1,3,"Shane McClanahan","TBR"
"6",52.9,12,"Ranger Suarez","PHI"
"7",52.5,14,"Max Fried","ATL"
"8",52.4,9,"Sandy Alcantara","MIA"
"9",51.7,6,"Dane Dunning","TEX"
"10",51.2,13,"Kyle Wright","ATL"
